merchtypeid,abbreviation,merchtypecontent,product
484,“黄金浆果”蓝莓,4盒(大果),蓝莓
483,“黄金浆果”蓝莓,6盒,蓝莓
485,“黄金浆果”蓝莓,6盒(大果),蓝莓
486,“黄金浆果”蓝莓,6盒(超大果),蓝莓
486,“黄金浆果”蓝莓,6盒(超大果，数量有限先买先发),蓝莓
486,“黄金浆果”蓝莓,6盒(黑珍珠),蓝莓
472,“树上熟”海南贵妃芒,5斤装,贵妃芒
473,“树上熟”海南贵妃芒,8斤装,贵妃芒
542,大连大樱桃,3斤/箱,大樱桃
610,桂七香芒,5斤装（8-10个）,桂七
611,桂七香芒,8斤装（14-16个）,桂七
601,海南1号红心火龙果,5斤装（其他地区）,火龙果
599,海南1号红心火龙果,5斤装（南京和北京）,火龙果
605,海南1号红心火龙果,5斤装（只支持北京和唐山）,火龙果
604,海南1号红心火龙果,8斤装（只支持北京和唐山）,火龙果
604,海南1号红心火龙果,8斤装（只配送北京地区）,火龙果
563,海南陆侨无核荔枝,3斤装（其他省会城市）,荔枝
561,海南陆侨无核荔枝,3斤装（北京和南京）,荔枝
595,海南陆侨无核荔枝,3斤装（北京）,荔枝
564,海南陆侨无核荔枝,6斤装（其他省会城市）,荔枝
562,海南陆侨无核荔枝,6斤装（北京和南京）,荔枝
596,海南陆侨无核荔枝,6斤装（北京）,荔枝
316,红橙,10斤装（27个左右）,红橙
316,红橙,10斤装（顺丰快递）,红橙
171,红橙,5斤装（13个左右）,红橙
171,红橙,5斤装（15个左右）,红橙
171,红橙,5斤装（20个左右）,红橙
171,红橙,5斤装（20个）,红橙
171,红橙,5斤装（普通快递）,红橙
172,红橙,8斤装（A级果）,红橙
172,红橙,8斤装（促销：送2斤）,红橙
553,佳沛金奇异果,12粒装,金果
553,佳沛金奇异果,12粒装（中果）,金果
554,佳沛金奇异果,12粒装（中果，京津冀以外地区）,金果
553,佳沛金奇异果,12粒装（中果，京津冀包邮）,金果
525,佳沛金奇异果,22～27个果／箱,金果
525,佳沛金奇异果,22～27粒/箱(仅支持京津冀，山东、山西、辽宁、吉林、河南),金果
525,佳沛金奇异果,22～27粒/箱(大果，仅支持京津冀，山东、山西、辽宁、吉林、河南),金果
525,佳沛金奇异果,22～27粒/箱（大果，只支持京津冀地区）,金果
614,精品进口水果（西柚、车厘子、牛油果）,南非西柚6粒装（北京ONLY）,西柚
608,精品进口水果（西柚、车厘子、牛油果）,墨西哥牛油果6粒,牛油果
608,精品进口水果（西柚、车厘子、牛油果）,墨西哥牛油果6粒(京津冀),牛油果
608,精品进口水果（西柚、车厘子、牛油果）,墨西哥牛油果6粒（配送全国大部分地区）,牛油果
609,精品进口水果（西柚、车厘子、牛油果）,美国车厘子超大果3斤(北京ONLY),车厘子
593,刘老汉薄皮吊瓜,2粒装,西瓜
613,平谷黄金桃,12粒装（单果约200-250g）,黄金桃
615,平谷黄金桃,12粒装（大果，单果约250g以上）,黄金桃
613,平谷黄金桃,12粒装（约5.5斤，单果重200-250g）,黄金桃
615,平谷黄金桃,12粒装（约6.5斤，单果重250g以上）,黄金桃
607,平谷鲜桃,大桃（12粒，约5～6斤）,大桃
607,平谷鲜桃,大桃（12粒，约5～6斤，本月15号以后发货）,大桃
606,平谷鲜桃,"蟠桃（12～15粒, 约4.5斤）",蟠桃
606,平谷鲜桃,"蟠桃（24粒, 约5～6斤）",蟠桃
612,平谷油桃,6斤装（约12－16个）,油桃
612,平谷油桃,6斤装（约16-18个）,油桃
588,仙居东魁杨梅,其他地区（3斤装）,杨梅
587,仙居东魁杨梅,北京、河北、福建（3斤装）,杨梅
597,仙居东魁杨梅,北京一级果特惠装（3斤）,杨梅
598,仙居东魁杨梅,北京一级果特惠装（6斤）,杨梅
586,仙居东魁杨梅,江浙沪（3斤装）,杨梅
