发放时间,渠道,金额,数量,团长ID,团长人数,优惠券编号
2017-12-01 11:51:46,bingbing,1000,5,364063,1,7236
2017-12-01 12:38:41,bingbing,1000,3,12187,1,7236
2017-12-01 17:34:33,bingbing,1000,1,356272,1,7236
2017-12-02 19:50:40,bingbing,1000,3,779353,1,7236
2017-12-04 13:37:56,bingbing,1000,1,882102,1,7236
2017-12-04 13:38:05,bingbing,1000,1,882102,1,7236
2017-12-05 13:10:00,bingbing,1000,4,662829,1,7236
2017-12-06 13:34:15,bingbing,1500,2,356313,1,7388
2017-12-06 14:35:50,bingbing,1000,2,356272,1,7455
2017-12-06 18:27:52,bingbing,1000,2,636410,1,7236
2017-12-07 10:14:03,bingbing,1000,2,872993,1,7488
2017-12-07 11:21:57,bingbing,1000,2,872993,1,7488
2017-12-07 12:24:04,bingbing,1000,2,882102,1,7488
2017-12-07 15:29:38,bingbing,1000,1,887867,1,7488
2017-12-07 15:29:47,bingbing,1000,1,833996,1,7488
2017-12-07 15:30:47,bingbing,1000,1,760913,1,7488
2017-12-07 15:31:01,bingbing,1000,1,676104,1,7488
2017-12-07 16:27:25,bingbing,1000,10,225915,1,7236
2017-12-07 16:28:36,bingbing,1000,3,225915,1,7455
2017-12-07 16:29:42,bingbing,1000,1,760913,1,7455
2017-12-07 16:32:18,bingbing,1000,2,758494,1,7488
2017-12-07 16:35:26,bingbing,1000,2,1437,1,7488
2017-12-08 10:26:55,bingbing,1000,5,721608,1,7488
2017-12-08 10:41:30,bingbing,1000,4,516377,1,7488
2017-12-08 10:48:08,bingbing,1000,4,769562,1,7488
2017-12-08 10:58:51,bingbing,1000,6,779353,1,7488
2017-12-08 11:09:17,bingbing,1000,5,10889,1,7488
2017-12-09 14:12:42,bingbing,1000,5,248579,1,7488
2017-12-09 15:29:36,bingbing,1000,3,811091,1,7488
2017-12-09 19:23:26,bingbing,1000,5,418771,1,7488
2017-12-11 11:31:30,bingbing,1000,2,848787,1,7488
2017-12-12 11:02:47,bingbing,1000,3,10889,1,7503
2017-12-12 12:04:51,bingbing,1000,3,769562,1,7503
2017-12-13 11:14:47,bingbing,1000,10,225915,1,7503
2017-12-14 09:35:45,bingbing,1000,2,356272,1,7503
2017-12-14 09:36:35,bingbing,1000,3,43729,1,7503
2017-12-14 09:37:22,bingbing,1000,4,35681,1,7503
2017-12-14 19:44:24,bingbing,1000,2,87472,1,7503
2017-12-14 21:16:35,bingbing,1000,2,797349,1,7503
2017-12-15 22:41:20,bingbing,1000,2,354688,1,7455
2017-12-16 12:44:23,bingbing,1000,1,555128,1,7503
2017-12-16 12:46:05,bingbing,1000,3,760913,1,7503
2017-12-16 12:46:25,bingbing,1000,3,710459,1,7503
2017-12-16 12:46:52,bingbing,1000,1,710459,1,7455
2017-12-16 12:47:20,bingbing,1000,2,760913,1,7455
2017-12-16 13:03:16,bingbing,1000,3,872561,1,7503
2017-12-17 14:15:06,bingbing,1000,2,827514,1,7503
2017-12-17 14:36:18,bingbing,1000,1,87472,1,7503
2017-12-17 14:36:31,bingbing,1000,5,87472,1,7503
2017-12-17 21:12:53,bingbing,1000,2,872993,1,7503
2017-12-17 21:43:14,bingbing,1000,1,225915,1,7503
2017-12-17 21:43:46,bingbing,1500,1,225915,1,7388
2017-12-17 21:55:05,bingbing,1000,3,626233,1,7503
2017-12-17 22:55:01,bingbing,1000,2,5905,1,7503
2017-12-18 10:57:31,bingbing,1000,3,12187,1,7503
2017-12-18 12:39:18,bingbing,1000,1,248579,1,7455
2017-12-18 19:31:12,bingbing,1500,1,779353,1,7416
2017-12-18 20:42:21,bingbing,1000,10,779353,1,7488
2017-12-18 20:42:47,bingbing,1000,3,779353,1,7455
2017-12-18 21:17:26,bingbing,1000,1,759978,1,7455
2017-12-19 11:07:52,bingbing,1000,1,710459,1,7455
2017-12-19 18:08:47,bingbing,1000,1,839404,1,7503
2017-12-15 12:23:26,changan,1000,3,838198,1,7503
2017-12-04 19:57:59,chenhao,1000,10,860037,1,7480
2017-12-04 19:59:04,chenhao,1000,10,874549,1,7480
2017-12-05 16:01:46,chenhao,1000,5,902682,1,7480
2017-12-05 16:29:28,chenhao,1000,5,897023,1,7480
2017-12-05 17:44:30,chenhao,1000,5,902943,1,7480
2017-12-05 17:46:22,chenhao,1000,3,902883,1,7480
2017-12-05 18:57:34,chenhao,1000,5,893974,1,7481
2017-12-05 19:00:26,chenhao,1000,5,894561,1,7481
2017-12-05 19:00:32,chenhao,1000,5,894561,1,7481
2017-12-05 19:00:30,chenhao,1000,5,894561,1,7481
2017-12-05 19:07:58,chenhao,1000,5,896876,1,7481
2017-12-05 19:14:07,chenhao,1000,5,899612,1,7481
2017-12-05 19:26:27,chenhao,1000,5,896700,1,7481
2017-12-05 20:50:30,chenhao,1000,10,662273,1,7481
2017-12-07 18:22:50,chenhao,1000,5,906580,1,7481
