"28","2017-04-30,2017-04-14,2017-04-22,2017-04-20,2017-04-01,2017-04-12,2017-04-19,2017-04-28"
"34","2017-04-09"
"51","2017-04-10,2017-04-26"
"59","2017-04-08,2017-04-30,2017-04-11,2017-04-06,2017-04-28,2017-04-13,2017-04-20,2017-04-27,2017-04-04,2017-04-23,2017-04-16,2017-04-15,2017-04-02,2017-04-07,2017-04-22,2017-04-21,2017-04-12,2017-04-19,2017-04-17,2017-04-05,2017-04-29,2017-04-03,2017-04-10,2017-04-14,2017-04-18,2017-04-24,2017-04-26,2017-04-01"
"62","2017-04-11"
"83","2017-04-11,2017-04-04,2017-04-05,2017-04-20,2017-04-19,2017-04-22,2017-04-28,2017-04-07,2017-04-21,2017-04-08,2017-04-09,2017-04-27,2017-04-14,2017-04-25,2017-04-24"
"158","2017-04-07,2017-04-22"
"165","2017-04-07,2017-04-19"
"237","2017-04-02,2017-04-11,2017-04-21,2017-04-30,2017-04-20,2017-04-05,2017-04-06,2017-04-07,2017-04-19,2017-04-01,2017-04-04,2017-04-14,2017-04-16,2017-04-24,2017-04-25,2017-04-15,2017-04-23,2017-04-13,2017-04-08,2017-04-18,2017-04-10,2017-04-29,2017-04-03,2017-04-22,2017-04-27,2017-04-17,2017-04-12,2017-04-28,2017-04-26,2017-04-09"
"248","2017-04-11,2017-04-21,2017-04-04,2017-04-26,2017-04-19,2017-04-25,2017-04-03,2017-04-10,2017-04-15,2017-04-14,2017-04-23"
"261","2017-04-20,2017-04-11,2017-04-12,2017-04-07,2017-04-14,2017-04-22,2017-04-30,2017-04-19,2017-04-26,2017-04-13,2017-04-18,2017-04-17,2017-04-15,2017-04-28,2017-04-04,2017-04-05,2017-04-16,2017-04-10,2017-04-24,2017-04-29,2017-04-27,2017-04-03,2017-04-08"
"273","2017-04-20,2017-04-29,2017-04-13,2017-04-26,2017-04-21,2017-04-11,2017-04-10,2017-04-22,2017-04-19,2017-04-25,2017-04-18,2017-04-05,2017-04-09,2017-04-01,2017-04-14,2017-04-12,2017-04-04"
"282","2017-04-01,2017-04-05,2017-04-22,2017-04-13,2017-04-29,2017-04-07,2017-04-17,2017-04-24,2017-04-04,2017-04-30,2017-04-03"
"289","2017-04-11,2017-04-14,2017-04-08,2017-04-15,2017-04-01,2017-04-09,2017-04-07,2017-04-19,2017-04-26,2017-04-24,2017-04-03"
"290","2017-04-29,2017-04-01,2017-04-10,2017-04-21,2017-04-22,2017-04-25,2017-04-06,2017-04-23,2017-04-02,2017-04-05,2017-04-12,2017-04-16,2017-04-20,2017-04-27,2017-04-03,2017-04-13,2017-04-11,2017-04-14,2017-04-24,2017-04-26,2017-04-15,2017-04-04"
"301","2017-04-09,2017-04-17,2017-04-16"
"316","2017-04-08,2017-04-29,2017-04-06,2017-04-12,2017-04-04,2017-04-15,2017-04-02,2017-04-20,2017-04-30,2017-04-18,2017-04-05,2017-04-07,2017-04-19,2017-04-23,2017-04-21,2017-04-25,2017-04-16,2017-04-22,2017-04-11,2017-04-03,2017-04-09,2017-04-14,2017-04-17,2017-04-10,2017-04-27,2017-04-24,2017-04-13"
"320","2017-04-22,2017-04-16,2017-04-30,2017-04-23,2017-04-11,2017-04-14,2017-04-19,2017-04-25,2017-04-07,2017-04-24,2017-04-08,2017-04-29,2017-04-06,2017-04-21,2017-04-28,2017-04-01,2017-04-20,2017-04-18,2017-04-27,2017-04-10,2017-04-05,2017-04-17,2017-04-26,2017-04-03,2017-04-02,2017-04-15,2017-04-09,2017-04-13,2017-04-04,2017-04-12"
"342","2017-04-09,2017-04-23,2017-04-06"
"349","2017-04-21,2017-04-25,2017-04-06,2017-04-20,2017-04-11,2017-04-16,2017-04-07,2017-04-09,2017-04-30,2017-04-26,2017-04-14,2017-04-23,2017-04-10,2017-04-08,2017-04-19"
"364","2017-04-23,2017-04-06,2017-04-21,2017-04-05,2017-04-28,2017-04-13,2017-04-08,2017-04-19,2017-04-24,2017-04-25"
"367","2017-04-08,2017-04-21,2017-04-23,2017-04-09,2017-04-07,2017-04-20"
"368","2017-04-05,2017-04-11,2017-04-21,2017-04-27,2017-04-06,2017-04-29,2017-04-01,2017-04-03,2017-04-02,2017-04-24,2017-04-16,2017-04-12,2017-04-28,2017-04-08,2017-04-13,2017-04-15,2017-04-10,2017-04-22,2017-04-23,2017-04-09,2017-04-07,2017-04-26,2017-04-19,2017-04-30,2017-04-20,2017-04-04,2017-04-25,2017-04-14,2017-04-17,2017-04-18"
"376","2017-04-17,2017-04-04,2017-04-14,2017-04-02,2017-04-27,2017-04-26,2017-04-20,2017-04-05,2017-04-11,2017-04-21,2017-04-01,2017-04-19,2017-04-16,2017-04-25,2017-04-22,2017-04-15,2017-04-18,2017-04-03,2017-04-12,2017-04-07,2017-04-13,2017-04-28"
"378","2017-04-20,2017-04-19,2017-04-02,2017-04-13,2017-04-25,2017-04-07,2017-04-01,2017-04-11,2017-04-14,2017-04-24,2017-04-27"
"427","2017-04-26,2017-04-28,2017-04-22,2017-04-11,2017-04-03,2017-04-10,2017-04-04,2017-04-02,2017-04-07"
"430","2017-04-17,2017-04-12,2017-04-10,2017-04-04,2017-04-21,2017-04-23,2017-04-18,2017-04-27,2017-04-28,2017-04-29,2017-04-01,2017-04-03,2017-04-05,2017-04-16,2017-04-22,2017-04-24,2017-04-26,2017-04-20,2017-04-11,2017-04-15,2017-04-08,2017-04-06,2017-04-19,2017-04-25,2017-04-13,2017-04-14,2017-04-30,2017-04-07,2017-04-09,2017-04-02"
"435","2017-04-05,2017-04-18,2017-04-22,2017-04-07,2017-04-03,2017-04-19,2017-04-15,2017-04-17,2017-04-20,2017-04-10,2017-04-25"
"1472","2017-04-13,2017-04-29,2017-04-15,2017-04-08,2017-04-19,2017-04-02,2017-04-12,2017-04-16,2017-04-27,2017-04-10,2017-04-11,2017-04-14,2017-04-04,2017-04-22,2017-04-24,2017-04-20,2017-04-06,2017-04-25,2017-04-30,2017-04-17,2017-04-23,2017-04-26,2017-04-09,2017-04-01,2017-04-07,2017-04-21,2017-04-05"
"1566","2017-04-26"
"1568","2017-04-03,2017-04-08,2017-04-16,2017-04-06,2017-04-21,2017-04-10,2017-04-13,2017-04-22,2017-04-25,2017-04-23,2017-04-02,2017-04-11,2017-04-01,2017-04-07,2017-04-14,2017-04-12,2017-04-19,2017-04-30,2017-04-26,2017-04-28,2017-04-24,2017-04-15,2017-04-04,2017-04-20,2017-04-29,2017-04-18,2017-04-05,2017-04-27,2017-04-17,2017-04-09"
"1738","2017-04-27,2017-04-25,2017-04-21"
"1754","2017-04-16,2017-04-20"
"2169","2017-04-20,2017-04-11,2017-04-22"
"3309","2017-04-19,2017-04-01,2017-04-23,2017-04-11,2017-04-16,2017-04-29,2017-04-02"
"3311","2017-04-12,2017-04-29,2017-04-14,2017-04-20,2017-04-25,2017-04-19,2017-04-21,2017-04-26,2017-04-04,2017-04-09,2017-04-06,2017-04-27,2017-04-11,2017-04-07,2017-04-10,2017-04-18,2017-04-16,2017-04-24,2017-04-28,2017-04-08,2017-04-30,2017-04-13,2017-04-17,2017-04-15"
"3398","2017-04-05,2017-04-20,2017-04-14,2017-04-16,2017-04-23,2017-04-24,2017-04-19,2017-04-26,2017-04-02,2017-04-07,2017-04-27,2017-04-30,2017-04-08,2017-04-01,2017-04-10,2017-04-21"
"3407","2017-04-09,2017-04-16,2017-04-17,2017-04-07,2017-04-01,2017-04-14,2017-04-08"
"3408","2017-04-03,2017-04-16,2017-04-15,2017-04-21,2017-04-08,2017-04-09,2017-04-02,2017-04-22,2017-04-20,2017-04-14,2017-04-17,2017-04-25,2017-04-07,2017-04-01,2017-04-05,2017-04-10,2017-04-12"
"4234","2017-04-21,2017-04-10,2017-04-27"
"4249","2017-04-26,2017-04-19,2017-04-11,2017-04-23,2017-04-28,2017-04-07,2017-04-14,2017-04-06,2017-04-17,2017-04-04,2017-04-29"
"4258","2017-04-05,2017-04-26,2017-04-27,2017-04-28,2017-04-04,2017-04-20,2017-04-07,2017-04-08,2017-04-19,2017-04-25,2017-04-13,2017-04-21,2017-04-24"
"4259","2017-04-06,2017-04-14,2017-04-20,2017-04-01,2017-04-23,2017-04-15,2017-04-28,2017-04-18,2017-04-17,2017-04-19,2017-04-10,2017-04-07,2017-04-16"
"4270","2017-04-01,2017-04-11,2017-04-14,2017-04-06,2017-04-07"
"4285","2017-04-17,2017-04-05,2017-04-25,2017-04-20,2017-04-12,2017-04-06,2017-04-30,2017-04-28,2017-04-19,2017-04-14,2017-04-04,2017-04-01,2017-04-15,2017-04-22,2017-04-27,2017-04-07,2017-04-23,2017-04-08,2017-04-21,2017-04-03,2017-04-10,2017-04-16,2017-04-02,2017-04-29,2017-04-09,2017-04-11,2017-04-24,2017-04-13,2017-04-26"
"4310","2017-04-11,2017-04-09,2017-04-02,2017-04-26,2017-04-08,2017-04-23,2017-04-20,2017-04-21,2017-04-14,2017-04-19,2017-04-18,2017-04-10,2017-04-28,2017-04-15,2017-04-27,2017-04-06,2017-04-12,2017-04-05,2017-04-30,2017-04-29,2017-04-07,2017-04-17,2017-04-22,2017-04-04,2017-04-16,2017-04-01,2017-04-13"
"4313","2017-04-11,2017-04-26"
"4340","2017-04-22,2017-04-06,2017-04-08,2017-04-13,2017-04-25,2017-04-15,2017-04-12,2017-04-16,2017-04-01,2017-04-29,2017-04-03,2017-04-28,2017-04-11,2017-04-19,2017-04-26,2017-04-20,2017-04-14,2017-04-24,2017-04-23,2017-04-09,2017-04-10"
"4350","2017-04-13,2017-04-19,2017-04-17,2017-04-06,2017-04-08,2017-04-20,2017-04-15,2017-04-10,2017-04-21,2017-04-22,2017-04-30"
"4376","2017-04-20,2017-04-24,2017-04-15,2017-04-06,2017-04-09,2017-04-04"
"4387","2017-04-05,2017-04-23,2017-04-10,2017-04-01,2017-04-15,2017-04-20,2017-04-06,2017-04-19,2017-04-21,2017-04-14,2017-04-25,2017-04-26,2017-04-28"
"4521","2017-04-19,2017-04-07,2017-04-08,2017-04-13,2017-04-21,2017-04-06,2017-04-14,2017-04-27,2017-04-12,2017-04-15,2017-04-20,2017-04-10,2017-04-03,2017-04-28,2017-04-01,2017-04-11,2017-04-22"
"4530","2017-04-09,2017-04-13,2017-04-20,2017-04-05,2017-04-01,2017-04-02"
"4640","2017-04-22,2017-04-23,2017-04-15"
"4858","2017-04-30,2017-04-19,2017-04-13,2017-04-22,2017-04-26,2017-04-05,2017-04-15,2017-04-20,2017-04-14,2017-04-01,2017-04-25,2017-04-04,2017-04-07,2017-04-21"
"4874","2017-04-20,2017-04-02,2017-04-16,2017-04-05,2017-04-21,2017-04-09,2017-04-07,2017-04-19,2017-04-30,2017-04-12,2017-04-28,2017-04-17,2017-04-18,2017-04-11,2017-04-13,2017-04-15"
"4879","2017-04-20,2017-04-22,2017-04-10,2017-04-19,2017-04-06,2017-04-21,2017-04-28,2017-04-17,2017-04-23,2017-04-01,2017-04-16,2017-04-18,2017-04-07,2017-04-03,2017-04-13,2017-04-11,2017-04-05,2017-04-24,2017-04-08,2017-04-15,2017-04-02,2017-04-14,2017-04-09,2017-04-27,2017-04-04,2017-04-26,2017-04-30,2017-04-25,2017-04-12,2017-04-29"
"4880","2017-04-02,2017-04-13,2017-04-25,2017-04-08,2017-04-05,2017-04-20,2017-04-11,2017-04-23,2017-04-24,2017-04-22,2017-04-27,2017-04-26,2017-04-01,2017-04-07,2017-04-03,2017-04-10,2017-04-21,2017-04-19,2017-04-14,2017-04-06,2017-04-18,2017-04-16,2017-04-28,2017-04-30,2017-04-15,2017-04-09,2017-04-17,2017-04-04"
"4884","2017-04-17,2017-04-18,2017-04-22,2017-04-20,2017-04-05,2017-04-10,2017-04-13,2017-04-27,2017-04-24,2017-04-15,2017-04-21,2017-04-09"
"4890","2017-04-30,2017-04-26,2017-04-21,2017-04-10,2017-04-06,2017-04-22,2017-04-16,2017-04-25,2017-04-07,2017-04-03,2017-04-17,2017-04-01,2017-04-20,2017-04-24,2017-04-09,2017-04-11,2017-04-14,2017-04-04,2017-04-08,2017-04-27"
"4907","2017-04-26,2017-04-11,2017-04-09,2017-04-29,2017-04-23,2017-04-30,2017-04-28,2017-04-20,2017-04-12,2017-04-02,2017-04-19"
"4955","2017-04-05,2017-04-07,2017-04-12,2017-04-15"
"4964","2017-04-10,2017-04-22,2017-04-25,2017-04-17,2017-04-08,2017-04-27,2017-04-13,2017-04-07"
"5130","2017-04-07,2017-04-12,2017-04-08,2017-04-20,2017-04-21,2017-04-19,2017-04-03,2017-04-05,2017-04-28,2017-04-10,2017-04-14,2017-04-13,2017-04-18,2017-04-11,2017-04-09,2017-04-17"
"5356","2017-04-07,2017-04-10,2017-04-11,2017-04-30,2017-04-14,2017-04-24,2017-04-23,2017-04-21,2017-04-25,2017-04-13"
"5695","2017-04-22,2017-04-13,2017-04-24"
"5787","2017-04-23"
"5820","2017-04-01,2017-04-11,2017-04-29,2017-04-12,2017-04-06,2017-04-09,2017-04-08,2017-04-27,2017-04-20,2017-04-18,2017-04-22,2017-04-15,2017-04-13,2017-04-10,2017-04-28,2017-04-02,2017-04-03,2017-04-26"
"5828","2017-04-01,2017-04-06,2017-04-13,2017-04-18,2017-04-23,2017-04-24,2017-04-20,2017-04-21,2017-04-03,2017-04-19,2017-04-10,2017-04-22,2017-04-27,2017-04-09,2017-04-14,2017-04-15,2017-04-28,2017-04-16,2017-04-11,2017-04-25,2017-04-17,2017-04-12,2017-04-26,2017-04-05,2017-04-08,2017-04-07,2017-04-29"
"6275","2017-04-06,2017-04-15,2017-04-17,2017-04-22,2017-04-08"
"6283","2017-04-09,2017-04-11,2017-04-12,2017-04-14,2017-04-05,2017-04-26,2017-04-22,2017-04-17,2017-04-10,2017-04-21,2017-04-23"
"6344","2017-04-09,2017-04-22,2017-04-02,2017-04-10,2017-04-13,2017-04-21"
"6705","2017-04-24,2017-04-25,2017-04-19,2017-04-22,2017-04-23,2017-04-10,2017-04-18,2017-04-13,2017-04-02,2017-04-04,2017-04-28,2017-04-12,2017-04-07,2017-04-06,2017-04-09,2017-04-14,2017-04-03,2017-04-20,2017-04-27"
"6818","2017-04-15,2017-04-16,2017-04-30"
"6914","2017-04-05,2017-04-10,2017-04-09,2017-04-20,2017-04-07,2017-04-13,2017-04-17,2017-04-22"
"7728","2017-04-29,2017-04-27,2017-04-25,2017-04-23,2017-04-22,2017-04-30,2017-04-24,2017-04-26,2017-04-28"
"8050","2017-04-10,2017-04-11,2017-04-23,2017-04-05,2017-04-19,2017-04-26,2017-04-12,2017-04-21,2017-04-24,2017-04-07,2017-04-30,2017-04-18,2017-04-25,2017-04-22,2017-04-14,2017-04-08,2017-04-15,2017-04-02,2017-04-06,2017-04-27,2017-04-03"
"8634","2017-04-07,2017-04-22,2017-04-14,2017-04-23,2017-04-21,2017-04-28,2017-04-26,2017-04-03,2017-04-12,2017-04-13,2017-04-27,2017-04-19,2017-04-20,2017-04-10,2017-04-05,2017-04-15,2017-04-16,2017-04-08,2017-04-01,2017-04-30,2017-04-02,2017-04-06,2017-04-17,2017-04-09,2017-04-24,2017-04-25,2017-04-04,2017-04-18,2017-04-11,2017-04-29"
"9547","2017-04-29,2017-04-16,2017-04-23,2017-04-17,2017-04-11,2017-04-10,2017-04-13,2017-04-19,2017-04-14,2017-04-22,2017-04-07,2017-04-21,2017-04-24,2017-04-27,2017-04-26,2017-04-28,2017-04-15,2017-04-03,2017-04-20,2017-04-05,2017-04-02,2017-04-06,2017-04-12,2017-04-25,2017-04-01,2017-04-08,2017-04-18,2017-04-30,2017-04-04,2017-04-09"
"9667","2017-04-12,2017-04-10,2017-04-30,2017-04-18,2017-04-09,2017-04-20,2017-04-01,2017-04-19,2017-04-21,2017-04-23,2017-04-25,2017-04-14,2017-04-05,2017-04-07,2017-04-03,2017-04-06,2017-04-29,2017-04-08,2017-04-11,2017-04-22"
"9698","2017-04-29,2017-04-22,2017-04-30,2017-04-24,2017-04-27,2017-04-28,2017-04-11,2017-04-23,2017-04-02,2017-04-05,2017-04-25"
