"22","2017-05-23"
"28","2017-05-12,2017-05-17,2017-05-03,2017-05-13,2017-05-18"
"51","2017-05-03,2017-05-19"
"59","2017-05-13,2017-05-15,2017-05-26,2017-05-03,2017-05-12,2017-05-07,2017-05-01,2017-05-18,2017-05-10,2017-05-16,2017-05-08,2017-05-17,2017-05-22,2017-05-20,2017-05-04,2017-05-25,2017-05-11,2017-05-19,2017-05-30,2017-05-27,2017-05-31,2017-05-28,2017-05-05,2017-05-09,2017-05-24,2017-05-23,2017-05-21,2017-05-14,2017-05-29"
"62","2017-05-07,2017-05-12"
"83","2017-05-06,2017-05-14,2017-05-05,2017-05-13,2017-05-18,2017-05-03,2017-05-04,2017-05-07,2017-05-27,2017-05-25,2017-05-16,2017-05-23,2017-05-11,2017-05-08"
"156","2017-05-01"
"158","2017-05-02"
"160","2017-05-05,2017-05-27"
"165","2017-05-16"
"237","2017-05-08,2017-05-22,2017-05-15,2017-05-12,2017-05-14,2017-05-16,2017-05-03,2017-05-18,2017-05-20,2017-05-04,2017-05-27,2017-05-10,2017-05-07,2017-05-23,2017-05-09,2017-05-19,2017-05-13,2017-05-26,2017-05-05,2017-05-28,2017-05-11,2017-05-02,2017-05-25,2017-05-01,2017-05-21,2017-05-24,2017-05-17,2017-05-29,2017-05-31,2017-05-30,2017-05-06"
"248","2017-05-09,2017-05-07,2017-05-16"
"261","2017-05-28,2017-05-10,2017-05-15,2017-05-19,2017-05-04,2017-05-08,2017-05-27,2017-05-07,2017-05-25,2017-05-05,2017-05-30,2017-05-11,2017-05-12,2017-05-14,2017-05-31,2017-05-09,2017-05-22,2017-05-23,2017-05-24,2017-05-02,2017-05-16"
"264","2017-05-03,2017-05-15,2017-05-27,2017-05-16"
"273","2017-05-20,2017-05-24,2017-05-03,2017-05-11,2017-05-19,2017-05-25,2017-05-27,2017-05-13,2017-05-15,2017-05-16,2017-05-14,2017-05-17,2017-05-10,2017-05-21"
"282","2017-05-02,2017-05-28,2017-05-06,2017-05-23,2017-05-15,2017-05-08,2017-05-13,2017-05-09,2017-05-19,2017-05-11"
"289","2017-05-13,2017-05-21,2017-05-27,2017-05-15,2017-05-03,2017-05-02,2017-05-12,2017-05-23,2017-05-10,2017-05-31,2017-05-26,2017-05-14"
"290","2017-05-28,2017-05-18,2017-05-27,2017-05-21,2017-05-29,2017-05-23,2017-05-07,2017-05-15,2017-05-14,2017-05-12,2017-05-10,2017-05-05,2017-05-22,2017-05-25,2017-05-08,2017-05-19,2017-05-03,2017-05-16,2017-05-13,2017-05-11,2017-05-17,2017-05-20,2017-05-26,2017-05-06"
"302","2017-05-08,2017-05-04,2017-05-13"
"316","2017-05-05,2017-05-12,2017-05-07,2017-05-21,2017-05-17,2017-05-27,2017-05-13,2017-05-02,2017-05-10,2017-05-14,2017-05-03,2017-05-08,2017-05-09,2017-05-04,2017-05-26,2017-05-31,2017-05-06,2017-05-18,2017-05-11,2017-05-29,2017-05-19,2017-05-16,2017-05-22,2017-05-28,2017-05-24,2017-05-01,2017-05-30,2017-05-23"
"320","2017-05-12,2017-05-28,2017-05-08,2017-05-25,2017-05-23,2017-05-24,2017-05-31,2017-05-13,2017-05-11,2017-05-27,2017-05-17,2017-05-03,2017-05-07,2017-05-16,2017-05-05,2017-05-26,2017-05-22,2017-05-18,2017-05-21,2017-05-02,2017-05-29,2017-05-14,2017-05-30,2017-05-09,2017-05-15,2017-05-10,2017-05-04,2017-05-06,2017-05-19,2017-05-01"
"324","2017-05-03"
"345","2017-05-25,2017-05-23,2017-05-26,2017-05-28"
"349","2017-05-11,2017-05-14,2017-05-08,2017-05-18,2017-05-28,2017-05-31,2017-05-27,2017-05-05,2017-05-12"
"364","2017-05-01,2017-05-02,2017-05-23,2017-05-17,2017-05-28,2017-05-06,2017-05-15,2017-05-26,2017-05-04,2017-05-24,2017-05-19"
"367","2017-05-02,2017-05-12,2017-05-26,2017-05-25,2017-05-15,2017-05-03,2017-05-09,2017-05-20,2017-05-11,2017-05-04"
"368","2017-05-20,2017-05-04,2017-05-14,2017-05-07,2017-05-11,2017-05-19,2017-05-12,2017-05-13,2017-05-22,2017-05-09,2017-05-23,2017-05-18,2017-05-26,2017-05-24,2017-05-10,2017-05-27,2017-05-31,2017-05-03,2017-05-28,2017-05-01,2017-05-16,2017-05-21,2017-05-25,2017-05-02,2017-05-06,2017-05-29,2017-05-08,2017-05-17,2017-05-30,2017-05-05,2017-05-15"
"376","2017-05-13,2017-05-10,2017-05-07,2017-05-26,2017-05-25,2017-05-15,2017-05-09,2017-05-06,2017-05-12,2017-05-24,2017-05-27,2017-05-02,2017-05-30,2017-05-20,2017-05-23,2017-05-04,2017-05-01,2017-05-16"
"378","2017-05-12,2017-05-22,2017-05-06,2017-05-19,2017-05-08,2017-05-21,2017-05-27,2017-05-16,2017-05-24,2017-05-07,2017-05-09"
"427","2017-05-04,2017-05-05,2017-05-25,2017-05-14,2017-05-12,2017-05-06,2017-05-10"
"430","2017-05-10,2017-05-15,2017-05-21,2017-05-31,2017-05-03,2017-05-14,2017-05-24,2017-05-16,2017-05-28,2017-05-18,2017-05-05,2017-05-22,2017-05-01,2017-05-30,2017-05-12,2017-05-06,2017-05-13,2017-05-09,2017-05-25,2017-05-04,2017-05-27,2017-05-02,2017-05-19,2017-05-17,2017-05-29,2017-05-07,2017-05-26,2017-05-20,2017-05-11,2017-05-08,2017-05-23"
"432","2017-05-13,2017-05-28,2017-05-16,2017-05-27,2017-05-19,2017-05-22,2017-05-25,2017-05-26"
"435","2017-05-08,2017-05-06,2017-05-12,2017-05-24,2017-05-20,2017-05-27,2017-05-26,2017-05-10,2017-05-15,2017-05-13,2017-05-01"
"554","2017-05-09,2017-05-10"
"1472","2017-05-31,2017-05-09,2017-05-18,2017-05-19,2017-05-20,2017-05-26,2017-05-27,2017-05-13,2017-05-21,2017-05-15,2017-05-14,2017-05-12,2017-05-17,2017-05-28,2017-05-23,2017-05-11,2017-05-06,2017-05-30,2017-05-22,2017-05-02,2017-05-25,2017-05-05,2017-05-04,2017-05-08,2017-05-07,2017-05-16,2017-05-01"
"1568","2017-05-12,2017-05-27,2017-05-14,2017-05-10,2017-05-07,2017-05-04,2017-05-11,2017-05-05,2017-05-03,2017-05-21,2017-05-06,2017-05-31,2017-05-15,2017-05-02,2017-05-18,2017-05-13,2017-05-23,2017-05-25,2017-05-20,2017-05-01,2017-05-08,2017-05-26,2017-05-16,2017-05-17,2017-05-22,2017-05-19,2017-05-28,2017-05-24,2017-05-09,2017-05-29,2017-05-30"
"1738","2017-05-13,2017-05-11,2017-05-23,2017-05-04,2017-05-06,2017-05-02,2017-05-16,2017-05-21"
"2169","2017-05-12,2017-05-18,2017-05-07"
"3309","2017-05-09,2017-05-15,2017-05-18,2017-05-19,2017-05-03,2017-05-12,2017-05-07,2017-05-23,2017-05-17"
"3311","2017-05-08,2017-05-21,2017-05-13,2017-05-12,2017-05-16,2017-05-11,2017-05-14,2017-05-19,2017-05-24,2017-05-10"
"3398","2017-05-01,2017-05-08,2017-05-03,2017-05-07,2017-05-21,2017-05-02,2017-05-12,2017-05-18,2017-05-19,2017-05-24,2017-05-14,2017-05-04,2017-05-09,2017-05-31,2017-05-16,2017-05-22"
"3407","2017-05-21,2017-05-19,2017-05-07,2017-05-23,2017-05-27,2017-05-13"
"3408","2017-05-13,2017-05-29,2017-05-07,2017-05-17,2017-05-09,2017-05-16,2017-05-20,2017-05-22,2017-05-26,2017-05-12,2017-05-23,2017-05-21,2017-05-14,2017-05-10,2017-05-19"
"4234","2017-05-26"
"4249","2017-05-13,2017-05-12,2017-05-29,2017-05-27,2017-05-19,2017-05-20"
"4258","2017-05-21,2017-05-27,2017-05-25,2017-05-12,2017-05-01,2017-05-04,2017-05-06,2017-05-16,2017-05-22,2017-05-24,2017-05-07,2017-05-05,2017-05-02,2017-05-19,2017-05-03,2017-05-08,2017-05-18,2017-05-26"
"4259","2017-05-12,2017-05-22,2017-05-01,2017-05-03,2017-05-08,2017-05-29,2017-05-15,2017-05-21,2017-05-14,2017-05-13,2017-05-28,2017-05-19,2017-05-23"
"4270","2017-05-05,2017-05-12,2017-05-16,2017-05-10,2017-05-01,2017-05-04,2017-05-19,2017-05-31,2017-05-28,2017-05-03,2017-05-21,2017-05-23,2017-05-02,2017-05-09,2017-05-22"
"4275","2017-05-12,2017-05-14,2017-05-15,2017-05-10,2017-05-05,2017-05-25,2017-05-18,2017-05-22"
"4285","2017-05-05,2017-05-16,2017-05-26,2017-05-04,2017-05-14,2017-05-10,2017-05-09,2017-05-08,2017-05-02,2017-05-13,2017-05-21,2017-05-31,2017-05-15,2017-05-22,2017-05-17,2017-05-27,2017-05-01,2017-05-12,2017-05-28,2017-05-23,2017-05-11,2017-05-03,2017-05-07,2017-05-25,2017-05-19,2017-05-24,2017-05-18,2017-05-29,2017-05-06,2017-05-30,2017-05-20"
"4310","2017-05-03,2017-05-31,2017-05-18,2017-05-22,2017-05-13,2017-05-11,2017-05-25,2017-05-02,2017-05-26,2017-05-12,2017-05-19,2017-05-27,2017-05-30,2017-05-05,2017-05-06,2017-05-15,2017-05-23,2017-05-21,2017-05-01,2017-05-07,2017-05-20,2017-05-10,2017-05-08,2017-05-09,2017-05-14,2017-05-17,2017-05-29,2017-05-28,2017-05-16"
"4340","2017-05-27,2017-05-07,2017-05-03,2017-05-19,2017-05-12,2017-05-22,2017-05-25,2017-05-11,2017-05-21,2017-05-24,2017-05-06,2017-05-09,2017-05-14,2017-05-23,2017-05-26"
"4350","2017-05-14,2017-05-08,2017-05-15,2017-05-06,2017-05-23,2017-05-29,2017-05-19,2017-05-21,2017-05-20,2017-05-05,2017-05-10,2017-05-27,2017-05-02"
"4376","2017-05-05,2017-05-09,2017-05-28,2017-05-13,2017-05-07,2017-05-27,2017-05-04,2017-05-16,2017-05-15,2017-05-17,2017-05-08,2017-05-10,2017-05-22"
"4387","2017-05-01,2017-05-04,2017-05-08,2017-05-17,2017-05-25,2017-05-18,2017-05-28,2017-05-21,2017-05-23,2017-05-02,2017-05-19,2017-05-29,2017-05-07,2017-05-27,2017-05-09,2017-05-30"
"4427","2017-05-27,2017-05-26,2017-05-12,2017-05-15,2017-05-03"
"4521","2017-05-05,2017-05-19,2017-05-27,2017-05-31,2017-05-11,2017-05-22,2017-05-20,2017-05-02,2017-05-21,2017-05-25,2017-05-07,2017-05-10,2017-05-23,2017-05-26,2017-05-12,2017-05-16,2017-05-03,2017-05-18,2017-05-24,2017-05-28,2017-05-09,2017-05-14,2017-05-04,2017-05-13,2017-05-30"
"4530","2017-05-30,2017-05-07,2017-05-17,2017-05-12,2017-05-14,2017-05-23,2017-05-13"
"4640","2017-05-10,2017-05-12,2017-05-16,2017-05-11,2017-05-19,2017-05-17,2017-05-15,2017-05-07,2017-05-20"
"4655","2017-05-29"
"4858","2017-05-03,2017-05-22,2017-05-08,2017-05-24,2017-05-30,2017-05-02"
"4874","2017-05-26,2017-05-07,2017-05-17,2017-05-28,2017-05-27,2017-05-10,2017-05-08,2017-05-09,2017-05-22,2017-05-14,2017-05-03,2017-05-21,2017-05-02,2017-05-20,2017-05-23"
