月份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1月,8,"7
(87.00%)","4
(50.00%)","3
(37.00%)","1
(12.00%)","2
(25.00%)","2
(25.00%)","2
(25.00%)","1
(12.00%)","1
(12.00%)","1
(12.00%)","0
(0.00%)"
2月,,95,"24
(25.00%)","22
(23.00%)","9
(9.00%)","13
(13.00%)","12
(12.00%)","17
(17.00%)","15
(15.00%)","12
(12.00%)","15
(15.00%)","5
(5.00%)"
3月,,,161,"45
(27.00%)","19
(11.00%)","22
(13.00%)","8
(4.00%)","13
(8.00%)","16
(9.00%)","12
(7.00%)","13
(8.00%)","0
(0.00%)"
4月,,,,588,"127
(21.00%)","122
(20.00%)","108
(18.00%)","144
(24.00%)","133
(22.00%)","115
(19.00%)","149
(25.00%)","18
(3.00%)"
5月,,,,,653,"244
(37.00%)","176
(26.00%)","182
(27.00%)","195
(29.00%)","181
(27.00%)","199
(30.00%)","25
(3.00%)"
6月,,,,,,900,"330
(36.00%)","285
(31.00%)","277
(30.00%)","235
(26.00%)","264
(29.00%)","34
(3.00%)"
7月,,,,,,,1097,"477
(43.00%)","382
(34.00%)","300
(27.00%)","324
(29.00%)","39
(3.00%)"
8月,,,,,,,,1838,"708
(38.00%)","545
(29.00%)","556
(30.00%)","81
(4.00%)"
9月,,,,,,,,,3325,"854
(25.00%)","868
(26.00%)","123
(3.00%)"
10月,,,,,,,,,,4122,"1232
(29.00%)","160
(3.00%)"
11月,,,,,,,,,,,4976,"378
(7.00%)"
12月,,,,,,,,,,,,379
