月份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1月,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2月,,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3月,,,1,"0
(0.00%)","0
(0.00%)","0
(0.00%)","0
(0.00%)","0
(0.00%)","0
(0.00%)","0
(0.00%)","0
(0.00%)","0
(0.00%)"
4月,,,,90,"11
(12.00%)","7
(7.00%)","6
(6.00%)","3
(3.00%)","2
(2.00%)","1
(1.00%)","2
(2.00%)","2
(2.00%)"
5月,,,,,82,"17
(20.00%)","8
(9.00%)","4
(4.00%)","2
(2.00%)","1
(1.00%)","4
(4.00%)","0
(0.00%)"
6月,,,,,,45,"9
(20.00%)","3
(6.00%)","3
(6.00%)","0
(0.00%)","0
(0.00%)","0
(0.00%)"
7月,,,,,,,44,"4
(9.00%)","2
(4.00%)","2
(4.00%)","0
(0.00%)","1
(2.00%)"
8月,,,,,,,,86,"4
(4.00%)","0
(0.00%)","0
(0.00%)","3
(3.00%)"
9月,,,,,,,,,108,"8
(7.00%)","1
(0.00%)","0
(0.00%)"
10月,,,,,,,,,,78,"10
(12.00%)","4
(5.00%)"
11月,,,,,,,,,,,149,"12
(8.00%)"
12月,,,,,,,,,,,,297
