月份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1月,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2月,,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3月,,,1,"0
(0.00%)","1
(100.00%)","1
(100.00%)","0
(0.00%)","0
(0.00%)","1
(100.00%)","0
(0.00%)","1
(100.00%)","1
(100.00%)"
4月,,,,90,"23
(25.00%)","18
(20.00%)","13
(14.00%)","18
(20.00%)","16
(17.00%)","17
(18.00%)","21
(23.00%)","15
(16.00%)"
5月,,,,,82,"27
(32.00%)","20
(24.00%)","19
(23.00%)","13
(15.00%)","16
(19.00%)","16
(19.00%)","12
(14.00%)"
6月,,,,,,45,"13
(28.00%)","12
(26.00%)","8
(17.00%)","8
(17.00%)","10
(22.00%)","7
(15.00%)"
7月,,,,,,,44,"12
(27.00%)","10
(22.00%)","6
(13.00%)","6
(13.00%)","8
(18.00%)"
8月,,,,,,,,86,"33
(38.00%)","24
(27.00%)","25
(29.00%)","26
(30.00%)"
9月,,,,,,,,,108,"33
(30.00%)","33
(30.00%)","29
(26.00%)"
10月,,,,,,,,,,78,"36
(46.00%)","27
(34.00%)"
11月,,,,,,,,,,,149,"61
(40.00%)"
12月,,,,,,,,,,,,297
