月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月
2016年1月,"5
4.4","4
8.75
(80.00%)","3
7.67
(60.00%)","3
8.33
(60.00%)","1
8.0
(20.00%)","2
4.0
(40.00%)","2
1.0
(40.00%)","2
1.5
(40.00%)","1
3.0
(20.00%)","1
2.0
(20.00%)","1
1.0
(20.00%)","1
1.0
(20.00%)","1
1.0
(20.00%)","0

(0.00%)","2
2.0
(40.00%)","0

(0.00%)","2
1.0
(40.00%)","1
4.0
(20.00%)","2
2.5
(40.00%)","2
3.0
(40.00%)","2
5.5
(40.00%)","1
5.0
(20.00%)"
2016年2月,,"32
1.56","8
3.13
(25.00%)","16
4.0
(50.00%)","7
12.43
(21.00%)","12
4.58
(37.00%)","11
10.18
(34.00%)","13
12.92
(40.00%)","14
16.43
(43.00%)","12
16.25
(37.00%)","13
24.69
(40.00%)","16
18.31
(50.00%)","15
19.8
(46.00%)","15
11.8
(46.00%)","15
6.33
(46.00%)","14
6.21
(43.00%)","17
10.53
(53.00%)","14
9.64
(43.00%)","15
5.73
(46.00%)","10
9.9
(31.00%)","11
8.0
(34.00%)","11
7.73
(34.00%)"
2016年3月,,,"50
1.58","30
2.3
(60.00%)","19
2.47
(38.00%)","20
2.45
(40.00%)","6
3.17
(12.00%)","13
2.92
(26.00%)","13
2.85
(26.00%)","12
3.0
(24.00%)","11
3.73
(22.00%)","11
5.55
(22.00%)","12
2.17
(24.00%)","14
4.07
(28.00%)","14
5.14
(28.00%)","11
4.82
(22.00%)","12
4.58
(24.00%)","15
3.73
(30.00%)","10
5.3
(20.00%)","11
6.36
(22.00%)","14
5.57
(28.00%)","10
5.4
(20.00%)"
2016年4月,,,,"417
1.65","99
1.92
(23.00%)","106
2.51
(25.00%)","98
2.3
(23.00%)","130
3.28
(31.00%)","124
3.94
(29.00%)","107
2.93
(25.00%)","141
5.47
(33.00%)","126
6.2
(30.00%)","92
4.87
(22.00%)","110
4.26
(26.00%)","141
6.43
(33.00%)","134
5.72
(32.00%)","137
6.2
(32.00%)","123
7.77
(29.00%)","113
4.85
(27.00%)","112
5.63
(26.00%)","134
4.98
(32.00%)","113
4.65
(27.00%)"
2016年5月,,,,,"393
1.38","153
3.11
(38.00%)","114
3.19
(29.00%)","119
4.08
(30.00%)","135
4.54
(34.00%)","115
3.37
(29.00%)","134
5.41
(34.00%)","122
6.09
(31.00%)","89
4.39
(22.00%)","89
2.55
(22.00%)","112
5.29
(28.00%)","119
4.18
(30.00%)","114
5.24
(29.00%)","99
5.52
(25.00%)","100
3.33
(25.00%)","110
4.0
(27.00%)","110
5.54
(27.00%)","107
4.45
(27.00%)"
2016年6月,,,,,,"701
1.77","261
2.73
(37.00%)","227
3.26
(32.00%)","220
3.7
(31.00%)","193
2.79
(27.00%)","219
4.5
(31.00%)","200
4.94
(28.00%)","166
3.99
(23.00%)","145
3.28
(20.00%)","212
4.94
(30.00%)","209
4.54
(29.00%)","198
4.72
(28.00%)","210
4.78
(29.00%)","164
3.91
(23.00%)","183
4.2
(26.00%)","178
4.42
(25.00%)","162
4.02
(23.00%)"
2016年7月,,,,,,,"902
1.77","413
3.69
(45.00%)","335
3.94
(37.00%)","262
3.14
(29.00%)","281
5.03
(31.00%)","243
5.74
(26.00%)","181
4.24
(20.00%)","182
3.99
(20.00%)","274
5.4
(30.00%)","247
5.01
(27.00%)","257
5.78
(28.00%)","254
5.24
(28.00%)","247
3.78
(27.00%)","261
4.43
(28.00%)","237
5.36
(26.00%)","208
4.63
(23.00%)"
2016年8月,,,,,,,,"1556
2.02","640
3.92
(41.00%)","492
3.25
(31.00%)","510
4.95
(32.00%)","490
5.68
(31.00%)","349
4.65
(22.00%)","332
3.54
(21.00%)","493
4.91
(31.00%)","423
5.16
(27.00%)","442
5.33
(28.00%)","433
5.56
(27.00%)","394
4.19
(25.00%)","423
4.65
(27.00%)","430
5.1
(27.00%)","370
4.17
(23.00%)"
2016年9月,,,,,,,,,"2976
1.76","783
2.79
(26.00%)","811
4.33
(27.00%)","736
5.63
(24.00%)","527
3.59
(17.00%)","474
3.4
(15.00%)","718
4.77
(24.00%)","662
4.54
(22.00%)","671
5.63
(22.00%)","634
5.63
(21.00%)","547
4.36
(18.00%)","610
4.74
(20.00%)","657
5.05
(22.00%)","551
4.47
(18.00%)"
2016年10月,,,,,,,,,,"3693
1.59","1165
4.18
(31.00%)","886
5.53
(23.00%)","618
3.4
(16.00%)","512
3.19
(13.00%)","760
4.5
(20.00%)","697
4.15
(18.00%)","660
4.84
(17.00%)","597
4.72
(16.00%)","532
3.8
(14.00%)","584
3.88
(15.00%)","655
4.12
(17.00%)","596
3.48
(16.00%)"
