月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月
2016年1月,1.34,482.68,391.32,267.55,298.07,357.06,314.8,236.91,187.8,241.0,79.91,269.7,129.82,0.0,267.82,75.0,349.81,282.7,3256.6,422.55,1162.51,9723.61
2016年2月,,2656.33,974.16,7296.13,11458.02,4711.84,4255.75,4630.19,5889.4,4453.37,7103.39,8815.64,8379.86,8300.39,9062.72,8641.02,17194.91,13790.82,8459.57,10907.3,10084.11,18635.71
2016年3月,,,7030.24,8762.06,8294.0,6802.0,2796.6,5437.01,4489.02,3696.1,3981.1,5888.4,3687.3,7048.4,7226.3,5649.4,6815.4,5791.3,8638.1,11527.0,13022.1,18443.5
2016年4月,,,,74969.39,34160.0,32640.03,24343.4,42189.62,54409.4,27699.0,77506.4,79018.7,51439.8,48902.5,89412.0,76935.9,87583.41,107259.9,71748.7,78403.1,95870.0,115377.11
2016年5月,,,,,75212.0,76819.35,44181.3,50424.0,76018.8,39236.7,78450.3,74751.2,56816.8,28657.1,66743.6,57034.3,72236.9,62005.0,45686.0,68633.8,94949.4,76114.4
2016年6月,,,,,,140546.03,79366.6,71187.92,82843.3,45938.5,87560.11,87318.0,78383.22,45238.5,93063.9,88308.62,92265.13,99927.53,77145.74,86141.8,92048.51,95623.81
2016年7月,,,,,,,151981.6,143473.7,138441.7,72206.7,136725.67,128544.39,109080.34,72497.74,142296.9,120939.0,155756.11,138833.4,121087.1,142236.6,207795.4,147572.58
2016年8月,,,,,,,,312850.03,266686.81,135377.7,232584.8,266654.33,181303.5,119276.2,228073.8,210328.3,240339.9,244886.6,214809.7,229028.8,299057.0,252783.7
2016年9月,,,,,,,,,539147.7,195831.8,321591.1,385839.7,220130.3,160881.8,317254.7,297126.0,383455.6,363863.4,301770.11,351793.5,470784.5,376682.9
2016年10月,,,,,,,,,,514535.3,452596.71,457068.1,239819.4,168343.2,326294.7,279199.1,331199.8,299796.6,257102.5,280782.4,379501.7,297435.71
2016年11月,,,,,,,,,,,930743.49,898517.69,492780.0,316336.64,567976.5,483781.4,545394.7,492777.62,429541.63,454511.19,598983.81,442275.9
2016年12月,,,,,,,,,,,,1379263.12,671462.75,400384.86,702300.8,564688.7,629496.5,574573.7,489000.1,511039.1,610677.6,484561.1
2017年1月,,,,,,,,,,,,,864788.92,298507.3,493163.93,388331.73,465784.34,397538.16,351995.93,356325.02,424346.2,327762.4
2017年2月,,,,,,,,,,,,,,507839.51,612876.64,436769.68,465370.84,393279.37,344179.46,341567.52,441924.42,308786.14
2017年3月,,,,,,,,,,,,,,,3337254.33,2662379.9,2305710.7,1852766.6,1586389.8,1576670.2,1868025.31,1471962.32
2017年4月,,,,,,,,,,,,,,,,3994204.8,2975429.21,2170443.8,1704182.98,1717586.0,2096344.0,1550745.9
2017年5月,,,,,,,,,,,,,,,,,5212650.0,3131865.6,2331065.5,2193716.5,2623273.1,1861151.1
2017年6月,,,,,,,,,,,,,,,,,,4695417.4,2989532.5,2437936.2,2673332.4,1805250.2
2017年7月,,,,,,,,,,,,,,,,,,,3424497.58,1932465.07,1989238.2,1269984.36
2017年8月,,,,,,,,,,,,,,,,,,,,4369415.3,2873501.4,1657482.02
2017年9月,,,,,,,,,,,,,,,,,,,,,5105219.1,2022821.86
2017年10月,,,,,,,,,,,,,,,,,,,,,,3956228.04
