月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月
2016年1月,42,45,29,43,10,8,4,4,3,2,2,3,3,0,5,1,4,4,36,11,26,9
2016年2月,,54,27,67,95,63,117,177,238,203,337,308,351,183,103,90,185,144,100,132,125,119
2016年3月,,,87,83,58,54,25,46,43,40,45,66,31,61,82,59,61,58,85,98,122,108
2016年4月,,,,694,204,278,254,442,492,326,802,811,473,485,932,791,880,994,790,869,1032,806
2016年5月,,,,,629,561,458,549,716,449,881,863,500,277,708,592,681,632,496,762,1042,876
2016年6月,,,,,,1284,784,736,797,544,973,957,654,458,1007,913,922,1010,825,996,995,1006
2016年7月,,,,,,,1722,1605,1391,881,1499,1460,882,768,1535,1291,1552,1425,1329,1713,1924,1642
2016年8月,,,,,,,,3309,2610,1667,2635,2879,1745,1207,2448,2232,2437,2483,2314,2688,3130,2359
2016年9月,,,,,,,,,5437,2302,3687,4295,2055,1658,3516,3107,3924,3732,3334,4024,4776,3900
2016年10月,,,,,,,,,,6099,5211,5085,2307,1695,3552,3004,3302,2951,2840,3245,4133,3327
2016年11月,,,,,,,,,,,10936,9948,4719,3199,6166,5171,5607,5209,4753,5342,6176,5072
2016年12月,,,,,,,,,,,,15125,6488,4163,7748,6089,6342,6075,5415,6133,6525,5562
2017年1月,,,,,,,,,,,,,8405,3054,5465,4203,4713,4276,3944,4217,4632,3717
2017年2月,,,,,,,,,,,,,,5206,6903,4954,5009,4439,4105,4361,5170,3823
2017年3月,,,,,,,,,,,,,,,38195,28796,23561,19764,17611,18732,20184,16633
2017年4月,,,,,,,,,,,,,,,,44667,30343,23071,18979,20498,22307,17354
2017年5月,,,,,,,,,,,,,,,,,53760,33584,26088,26242,27668,21136
2017年6月,,,,,,,,,,,,,,,,,,50223,33003,29003,28304,20445
2017年7月,,,,,,,,,,,,,,,,,,,38445,23750,21395,14285
2017年8月,,,,,,,,,,,,,,,,,,,,50529,30872,18918
2017年9月,,,,,,,,,,,,,,,,,,,,,53317,23340
2017年10月,,,,,,,,,,,,,,,,,,,,,,40058
