月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月
2016年1月,5,4,3,3,1,2,2,2,1,1,1,1,1,0,2,1,2,1,2,2,2,1
2016年2月,,32,9,16,7,12,11,13,14,12,13,16,15,15,16,14,17,14,15,11,11,11
2016年3月,,,51,31,20,22,7,14,14,13,12,13,14,15,15,12,13,15,11,12,16,11
2016年4月,,,,418,103,108,100,129,124,107,140,127,91,110,140,133,136,123,112,111,133,112
2016年5月,,,,,421,177,130,130,150,123,143,134,96,94,125,130,124,108,107,119,121,116
2016年6月,,,,,,699,262,222,217,188,217,195,165,143,208,207,196,209,162,180,175,160
2016年7月,,,,,,,913,414,339,265,286,249,184,183,279,253,266,261,252,261,243,211
2016年8月,,,,,,,,1554,641,498,511,489,348,332,491,420,440,431,394,425,434,373
2016年9月,,,,,,,,,2982,790,816,740,530,473,719,665,671,634,546,612,665,554
2016年10月,,,,,,,,,,3728,1181,892,626,515,768,699,660,606,536,588,662,601
2016年11月,,,,,,,,,,,4730,2079,1292,1052,1405,1251,1194,1110,971,1004,1100,976
2016年12月,,,,,,,,,,,,5409,1810,1283,1731,1463,1367,1269,1118,1210,1198,1045
2017年1月,,,,,,,,,,,,,4053,1029,1289,1052,939,941,768,798,804,715
2017年2月,,,,,,,,,,,,,,2845,1374,1027,915,788,691,693,764,632
2017年3月,,,,,,,,,,,,,,,15816,6566,5113,4396,3732,3660,3745,3183
2017年4月,,,,,,,,,,,,,,,,18642,6938,5428,4416,4200,4068,3360
2017年5月,,,,,,,,,,,,,,,,,20797,7729,5823,5371,5065,4071
2017年6月,,,,,,,,,,,,,,,,,,20374,7008,5800,5263,3990
2017年7月,,,,,,,,,,,,,,,,,,,16041,4889,4068,2924
2017年8月,,,,,,,,,,,,,,,,,,,,21610,6013,3872
2017年9月,,,,,,,,,,,,,,,,,,,,,21357,4894
2017年10月,,,,,,,,,,,,,,,,,,,,,,18750
