月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月,2017年11月
2016年1月,47,50,30,43,10,8,4,4,3,2,2,3,3,0,5,1,4,4,36,11,26,9,19
2016年2月,,147,59,90,103,75,124,182,239,203,343,315,351,183,103,90,185,144,101,132,126,119,194
2016年3月,,,216,104,58,64,30,46,47,40,53,68,34,62,82,59,61,59,85,98,122,108,1682
2016年4月,,,,977,304,454,348,597,590,367,935,1122,562,509,938,793,882,994,790,870,1033,806,1145
2016年5月,,,,,1067,893,685,787,946,599,1115,1145,591,300,724,599,682,633,499,764,1043,878,1333
2016年6月,,,,,,1714,1026,952,990,637,1181,1116,699,477,1024,915,923,1013,826,996,999,1006,1371
2016年7月,,,,,,,2046,1851,1561,961,1658,1564,910,784,1541,1291,1554,1431,1331,1715,1939,1645,2234
2016年8月,,,,,,,,3790,2829,1797,2794,2981,1773,1225,2467,2233,2440,2484,2316,2690,3131,2361,3343
2016年9月,,,,,,,,,5961,2462,3879,4422,2095,1679,3532,3120,3934,3740,3349,4039,4794,3908,5317
2016年10月,,,,,,,,,,6676,5497,5250,2361,1726,3569,3026,3310,2959,2847,3251,4142,3332,5172
2016年11月,,,,,,,,,,,11448,10219,4799,3231,6209,5188,5636,5225,4756,5351,6185,5086,8288
2016年12月,,,,,,,,,,,,16022,6653,4258,7843,6150,6392,6102,5448,6168,6562,5585,8661
2017年1月,,,,,,,,,,,,,8835,3112,5570,4275,4753,4334,3973,4258,4655,3753,5409
2017年2月,,,,,,,,,,,,,,5466,7014,5016,5046,4469,4136,4391,5207,3836,5884
2017年3月,,,,,,,,,,,,,,,39217,29112,23744,19884,17741,18868,20275,16706,23566
2017年4月,,,,,,,,,,,,,,,,46171,30703,23287,19243,20734,22535,17548,24730
2017年5月,,,,,,,,,,,,,,,,,55273,34008,26384,26508,27894,21287,29992
2017年6月,,,,,,,,,,,,,,,,,,51767,33370,29324,28583,20618,29392
2017年7月,,,,,,,,,,,,,,,,,,,40190,24165,21702,14505,19620
2017年8月,,,,,,,,,,,,,,,,,,,,52485,31376,19146,24090
2017年9月,,,,,,,,,,,,,,,,,,,,,55574,23769,25899
2017年10月,,,,,,,,,,,,,,,,,,,,,,41989,22706
2017年11月,,,,,,,,,,,,,,,,,,,,,,,49332
