月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月
2016年1月,47,50,30,43,10,8,4,4,3,2,2,3,3,0,5,1,4,4,36
2016年2月,,147,59,90,103,75,124,182,239,203,343,315,351,183,103,90,185,144,101
2016年3月,,,216,104,58,64,30,46,47,40,53,68,34,62,82,59,61,59,85
2016年4月,,,,977,304,454,348,597,590,367,935,1122,562,509,938,793,882,994,790
2016年5月,,,,,1067,893,685,787,946,599,1115,1145,591,300,724,599,682,633,499
2016年6月,,,,,,1714,1026,952,990,637,1181,1116,699,477,1024,915,923,1013,826
2016年7月,,,,,,,2046,1851,1561,961,1658,1564,910,784,1541,1291,1554,1430,1331
2016年8月,,,,,,,,3790,2829,1797,2794,2981,1773,1225,2467,2233,2440,2484,2316
2016年9月,,,,,,,,,5961,2462,3879,4422,2095,1679,3532,3120,3934,3740,3349
2016年10月,,,,,,,,,,6676,5497,5250,2361,1726,3569,3026,3310,2959,2847
2016年11月,,,,,,,,,,,11448,10219,4799,3231,6209,5188,5636,5225,4756
2016年12月,,,,,,,,,,,,16022,6653,4258,7843,6150,6392,6102,5448
2017年1月,,,,,,,,,,,,,8835,3112,5570,4275,4753,4334,3973
2017年2月,,,,,,,,,,,,,,5466,7014,5016,5046,4469,4136
2017年3月,,,,,,,,,,,,,,,39217,29112,23744,19884,17740
2017年4月,,,,,,,,,,,,,,,,46171,30703,23287,19242
2017年5月,,,,,,,,,,,,,,,,,55272,34007,26384
2017年6月,,,,,,,,,,,,,,,,,,51767,33370
2017年7月,,,,,,,,,,,,,,,,,,,40190
