"21","3&322.00"
"22","10&418.40"
"28","4&287.70"
"50","7&257.40"
"51","20&2239.20"
"59","58&15038.50"
"62","4&332.90"
"70","6&1270.80"
"79","4&59.60"
"83","14&783.70"
"158","5&379.70"
"161","1&118.00"
"237","28&3920.70"
"239","1&99.00"
"248","39&3280.90"
"256","3&256.80"
"257","1&56.80"
"258","4&268.50"
"261","1&139.00"
"265","4&664.90"
"267","1&74.50"
"268","1&119.00"
"270","1&109.00"
"273","22&2172.60"
"275","3&366.90"
"279","2&145.70"
"281","3&183.90"
"282","6&632.70"
"283","1&88.00"
"284","7&8219.70"
"285","1&89.90"
"289","1&109.00"
"290","57&4951.80"
"295","5&618.60"
"306","1&88.00"
"309","5&453.30"
"311","3&359.00"
"312","2&187.00"
"315","7&379.40"
"316","6&499.70"
"317","4&348.80"
"320","34&9284.90"
"328","1&159.00"
"337","6&739.70"
"338","2&93.40"
"342","11&972.60"
"349","2&186.00"
"355","8&738.50"
"356","8&902.20"
"358","4&375.00"
"364","9&431.70"
"368","22&2356.20"
"392","31&3354.80"
"427","1&56.80"
"430","73&8655.50"
"431","5&337.70"
"432","14&1609.90"
"435","7&479.60"
"446","2&137.80"
"627","2&125.90"
"639","10&857.70"
"753","17&533.40"
"910","5&279.50"
"1095","11&936.20"
"1400","1&179.80"
"1437","4&317.50"
"1472","18&1828.90"
"1477","6&1252.90"
"1480","1&94.00"
"1485","2&188.00"
"1486","2&159.80"
"1487","17&1032.00"
"1568","57&5754.40"
"1577","11&1101.20"
"1579","3&173.70"
"1610","19&1324.50"
"1688","13&1015.50"
"1738","1&139.00"
"1743","1&114.90"
"1753","7&331.40"
"1810","1&120.00"
"1827","1&92.90"
"1875","10&1080.50"
"1916","3&303.00"
"2011","1&109.90"
"2054","4&357.70"
"2067","4&257.70"
"3311","9&667.00"
"3339","8&2306.80"
"3398","4&229.70"
"3402","7&667.30"
"3407","11&924.10"
"3408","13&618.80"
"3409","1&65.00"
"3413","1&88.00"
"3451","1&189.00"
"3454","1&78.00"
"3497","6&555.80"
"3502","2&590.00"
"3539","3&135.00"
"3727","10&829.40"
"3909","2&184.00"
"3988","1&88.00"
"4003","20&1978.80"
"4006","1&168.00"
"4158","20&2693.00"
"4194","9&780.10"
"4234","7&951.60"
"4245","1&64.00"
"4249","1&99.80"
"4250","3&275.80"
"4254","1&139.00"
"4255","7&745.60"
"4258","6&641.70"
"4259","1&119.00"
"4263","1&88.90"
"4275","1&56.80"
"4280","4&462.00"
"4285","33&2902.40"
"4286","10&1572.70"
"4289","4&388.80"
"4298","4&351.80"
"4299","8&578.20"
"4301","1&128.00"
"4307","1&118.00"
"4308","3&326.90"
"4309","1&118.00"
"4310","21&2047.80"
"4311","3&216.70"
"4313","1&109.00"
"4316","3&457.40"
"4319","5&423.60"
"4328","3&232.50"
"4329","6&395.80"
"4331","14&1320.50"
"4334","7&671.60"
"4340","2&116.70"
"4342","11&600.30"
"4350","6&607.60"
"4356","4&305.60"
"4376","11&1343.60"
"4413","1&78.00"
"4530","11&972.40"
"4636","7&628.90"
"4640","5&672.80"
"4641","1&125.00"
"4666","15&2214.40"
"4799","1&139.00"
"4856","16&1526.50"
"4857","2&177.80"
"4859","7&798.70"
"4860","1&139.00"
"4863","6&850.70"
"4864","1&89.00"
"4870","5&639.00"
"4871","1&158.00"
"4874","1&98.00"
"4878","1&112.00"
"4879","8&816.40"
"4880","7&357.30"
"4884","22&1952.10"
"4888","1&166.00"
"4898","1&166.00"
"4907","1&85.00"
"4910","1&658.00"
"4914","1&118.00"
"4920","1&139.00"
"4933","12&1068.90"
"4940","30&2943.60"
"4941","3&181.70"
"4945","8&730.20"
"4946","10&780.30"
"4947","18&1161.40"
"4949","1&38.80"
"4955","2&228.00"
"4965","2&144.80"
"5034","5&793.90"
"5218","1&122.00"
"5356","1&139.80"
"5676","1&87.00"
"5695","4&706.90"
"5751","14&1063.20"
"5769","1&399.00"
"5788","8&770.50"
"5789","3&411.20"
"5795","4&388.70"
"5814","5&426.60"
"5819","15&1422.70"
"5820","2&137.70"
"5821","8&538.30"
"5823","23&2155.40"
"5828","15&1663.20"
"5840","1&89.00"
"5861","11&771.00"
"5905","9&814.70"
"6168","1&62.90"
"6183","1&109.00"
"6230","1&99.00"
"6260","6&506.70"
"6262","8&791.60"
"6266","1&115.00"
"6268","2&7265.00"
"6269","5&433.80"
"6272","1&59.90"
"6274","8&896.50"
"6279","3&339.90"
"6283","1&89.90"
"6289","6&1064.00"
"6292","6&499.10"
"6311","7&612.20"
"6343","1&116.00"
"6344","5&301.60"
"6367","3&309.90"
"6389","5&1293.00"
"6401","6&547.30"
"6456","1&88.00"
"6492","4&493.00"
"6612","3&285.00"
"6705","2&201.90"
"6724","5&675.90"
"6725","10&797.30"
"6742","3&196.70"
"6756","3&226.00"
"6764","1&108.00"
"6770","2&237.90"
"6799","3&225.80"
"6904","1&108.00"
"6913","6&1081.50"
"6914","26&2415.70"
"6920","4&415.90"
"6963","1&74.90"
"7066","13&1044.40"
"7075","17&1587.00"
"7172","2&187.80"
"7173","15&1273.10"
"7195","1&139.00"
"7244","1&89.00"
"7249","4&309.40"
"7283","26&2625.40"
"7296","44&4739.90"
"7340","25&2056.20"
"7472","5&358.50"
"7504","6&512.60"
"7517","5&442.80"
"7521","9&823.50"
"7526","15&2030.20"
"7574","2&250.00"
"7580","7&516.40"
"7583","3&189.70"
"7587","1&149.00"
"7601","1&168.00"
"7612","2&247.00"
"7615","1&119.90"
"7655","20&2701.30"
"7722","3&276.90"
"7723","3&290.90"
"7728","16&1198.90"
"7815","2&198.90"
"7821","5&1003.90"
"7852","3&348.00"
"7868","9&1163.90"
"7889","8&751.60"
"7901","3&189.90"
"7909","2&297.00"
"7960","2&188.70"
"8050","4&290.60"
"8059","1&69.00"
"8088","1&77.80"
"8089","13&737.60"
"8098","7&980.50"
"8108","7&703.70"
"8121","2&598.00"
"8128","6&406.40"
"8180","3&202.90"
"8197","13&933.70"
"8268","3&413.90"
"8312","2&139.80"
"8330","1&166.00"
"8395","2&236.00"
"8510","47&3189.50"
"8542","1&139.00"
"8547","1&119.80"
"8572","1&89.00"
"9004","3&307.60"
"9019","7&841.70"
"9029","1&48.80"
"9069","6&596.00"
"9083","7&863.60"
"9086","1&74.00"
"9135","8&562.50"
"9154","13&1160.20"
"9155","6&493.30"
"9156","9&1294.30"
"9160","10&1414.40"
"9177","1&99.00"
"9218","7&607.80"
"9343","2&227.00"
"9348","1&71.70"
"9349","17&1951.50"
"9352","49&5594.10"
"9353","8&619.30"
"9357","8&551.40"
"9358","1&139.00"
"9376","2&195.80"
"9393","36&2308.70"
"9416","1&79.90"
"9451","18&1597.80"
"9482","6&398.40"
"9512","12&886.50"
"9547","7&809.70"
"9667","10&726.90"
"9673","7&363.50"
"9674","6&450.50"
"9696","3&193.60"
"9697","5&1116.90"
"9698","31&2731.50"
"9711","4&355.80"
"9713","1&269.00"
"9714","8&723.70"
"9718","3&443.70"
"9731","13&974.50"
"9748","1&49.90"
"9771","1&88.90"
"9781","30&2292.40"
"9786","1&88.00"
"9794","3&218.90"
