月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月
2016年1月,"3
3.33","2
12.5
(66.00%)","2
9.0
(66.00%)","3
8.33
(100.00%)","1
8.0
(33.00%)","2
4.0
(66.00%)","2
1.0
(66.00%)","2
1.5
(66.00%)","1
3.0
(33.00%)","1
2.0
(33.00%)","1
1.0
(33.00%)","1
1.0
(33.00%)","1
1.0
(33.00%)","0

(0.00%)","2
2.0
(66.00%)","0

(0.00%)"
2016年2月,,"16
1.88","5
3.0
(31.00%)","11
6.0
(68.00%)","7
12.86
(43.00%)","11
5.45
(68.00%)","12
9.83
(75.00%)","13
12.92
(81.00%)","11
20.27
(68.00%)","10
19.0
(62.00%)","12
26.67
(75.00%)","14
20.71
(87.00%)","13
22.54
(81.00%)","11
15.64
(68.00%)","10
8.8
(62.00%)","13
6.62
(81.00%)"
2016年3月,,,"17
1.18","12
3.42
(70.00%)","10
3.5
(58.00%)","11
4.18
(64.00%)","7
3.29
(41.00%)","10
3.3
(58.00%)","8
4.0
(47.00%)","8
3.63
(47.00%)","9
4.78
(52.00%)","11
5.55
(64.00%)","10
2.4
(58.00%)","13
4.31
(76.00%)","11
5.91
(64.00%)","10
5.2
(58.00%)"
2016年4月,,,,"155
2.45","61
3.2
(39.00%)","82
4.51
(52.00%)","84
3.35
(54.00%)","106
4.79
(68.00%)","111
4.86
(71.00%)","96
3.29
(61.00%)","121
6.86
(78.00%)","114
8.84
(73.00%)","85
6.04
(54.00%)","96
4.86
(61.00%)","114
7.56
(73.00%)","113
6.48
(72.00%)"
2016年5月,,,,,"207
1.95","150
3.99
(72.00%)","121
3.75
(58.00%)","135
4.51
(65.00%)","154
4.89
(74.00%)","144
3.33
(69.00%)","153
5.55
(73.00%)","147
6.38
(71.00%)","100
4.49
(48.00%)","87
2.62
(42.00%)","100
5.73
(48.00%)","97
4.74
(46.00%)"
2016年6月,,,,,,"290
2.92","198
3.71
(68.00%)","206
4.03
(71.00%)","200
4.49
(68.00%)","191
3.02
(65.00%)","200
5.33
(68.00%)","197
5.5
(67.00%)","166
4.06
(57.00%)","147
3.3
(50.00%)","168
5.83
(57.00%)","171
5.19
(58.00%)"
2016年7月,,,,,,,"342
2.62","273
5.33
(79.00%)","247
5.12
(72.00%)","215
3.68
(62.00%)","246
5.9
(71.00%)","220
6.5
(64.00%)","169
4.46
(49.00%)","162
4.31
(47.00%)","222
6.27
(64.00%)","199
5.83
(58.00%)"
2016年8月,,,,,,,,"546
3.26","430
5.17
(78.00%)","381
3.94
(69.00%)","416
5.94
(76.00%)","402
6.65
(73.00%)","325
4.9
(59.00%)","297
3.82
(54.00%)","387
5.82
(70.00%)","346
5.93
(63.00%)"
2016年9月,,,,,,,,,"716
3.33","495
3.68
(69.00%)","559
5.68
(78.00%)","565
6.94
(78.00%)","434
4.11
(60.00%)","405
3.77
(56.00%)","522
5.93
(72.00%)","506
5.49
(70.00%)"
2016年10月,,,,,,,,,,"735
2.94","637
6.36
(86.00%)","609
7.42
(82.00%)","468
4.05
(63.00%)","420
3.62
(57.00%)","547
5.69
(74.00%)","508
5.13
(69.00%)"
2016年11月,,,,,,,,,,,"1221
4.23","1068
7.21
(87.00%)","874
4.29
(71.00%)","760
3.59
(62.00%)","944
5.51
(77.00%)","845
5.19
(69.00%)"
2016年12月,,,,,,,,,,,,"1251
6.03","970
4.83
(77.00%)","869
3.93
(69.00%)","1051
6.09
(84.00%)","951
5.37
(76.00%)"
2017年1月,,,,,,,,,,,,,"691
4.25","542
4.13
(78.00%)","623
6.64
(90.00%)","606
5.56
(87.00%)"
2017年2月,,,,,,,,,,,,,,"592
3.3","562
8.87
(94.00%)","546
7.22
(92.00%)"
2017年3月,,,,,,,,,,,,,,,"2394
6.25","2330
8.37
(97.00%)"
2017年4月,,,,,,,,,,,,,,,,"1685
8.11"
