月份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1月,2,"1
(50.00%)","1
(50.00%)","1
(50.00%)","1
(50.00%)","1
(50.00%)","0
(0.00%)","2
(100.00%)","1
(50.00%)","1
(50.00%)","1
(50.00%)","1
(50.00%)"
2月,,5,"2
(40.00%)","5
(100.00%)","5
(100.00%)","5
(100.00%)","5
(100.00%)","5
(100.00%)","5
(100.00%)","4
(80.00%)","4
(80.00%)","5
(100.00%)"
3月,,,3,"3
(100.00%)","2
(66.00%)","3
(100.00%)","3
(100.00%)","3
(100.00%)","3
(100.00%)","3
(100.00%)","3
(100.00%)","3
(100.00%)"
4月,,,,18,"11
(61.00%)","6
(33.00%)","5
(27.00%)","9
(50.00%)","6
(33.00%)","7
(38.00%)","6
(33.00%)","5
(27.00%)"
5月,,,,,21,"13
(61.00%)","10
(47.00%)","12
(57.00%)","10
(47.00%)","9
(42.00%)","9
(42.00%)","6
(28.00%)"
6月,,,,,,35,"25
(71.00%)","20
(57.00%)","18
(51.00%)","16
(45.00%)","17
(48.00%)","16
(45.00%)"
7月,,,,,,,51,"41
(80.00%)","39
(76.00%)","37
(72.00%)","38
(74.00%)","31
(60.00%)"
8月,,,,,,,,65,"55
(84.00%)","49
(75.00%)","53
(81.00%)","46
(70.00%)"
9月,,,,,,,,,90,"68
(75.00%)","66
(73.00%)","51
(56.00%)"
10月,,,,,,,,,,87,"72
(82.00%)","54
(62.00%)"
11月,,,,,,,,,,,174,"141
(81.00%)"
12月,,,,,,,,,,,,129
