月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月
2016年1月,0.11,0.05,0.33,178.35,427.04,0.05,0.0,89.91,361.8,241.0,79.91,477.7,179.72,0.0,337.72,173.0,405.71,748.2,3564.4,422.55,1162.51,9723.61
2016年2月,,2520.02,90.18,29164.71,16615.1,36502.12,42148.73,72439.94,130324.01,75511.4,171486.0,200451.6,136474.35,132906.0,238012.84,225125.3,274250.0,280567.3,220743.4,268064.9,268799.0,291757.6
2016年3月,,,1344.2,10906.02,11377.0,5614.0,1995.8,11930.82,17864.6,6111.3,5869.9,9958.2,8823.1,6888.8,14109.5,10455.1,5910.2,12453.1,3972.5,7026.5,22020.6,20049.2
2016年4月,,,,32920.92,13250.0,16670.0,11214.41,14574.77,10110.19,10879.49,18925.66,13482.2,10229.7,15682.5,23206.6,19890.6,27003.2,33952.0,25201.0,33150.5,47281.9,35650.8
2016年5月,,,,,33678.0,79809.0,66390.8,64406.4,160576.31,78721.6,152006.41,152489.1,107547.2,64104.4,157165.1,137749.5,163902.21,148341.9,115319.8,166627.7,221554.4,183904.7
2016年6月,,,,,,67379.14,64785.45,84568.56,122263.88,89499.17,202652.2,200511.04,131386.11,105656.49,205508.28,186809.62,197244.51,165935.02,150168.37,204412.0,243438.71,265424.7
2016年7月,,,,,,,71690.3,176088.72,237141.7,184951.7,286349.77,304919.39,235197.66,179408.04,417328.6,376621.22,487579.24,399974.23,376369.94,442692.6,531181.81,437638.09
2016年8月,,,,,,,,113866.2,268597.9,232451.9,411391.9,669531.03,472791.1,341233.0,675883.7,612933.0,738736.4,693935.9,644713.61,649778.3,901437.2,798622.6
2016年9月,,,,,,,,,81314.7,158763.3,261053.7,341515.4,193229.5,121917.9,312139.1,350916.6,416660.1,421883.7,344833.0,370969.8,536204.1,421135.5
2016年10月,,,,,,,,,,114088.5,383295.2,473461.7,252028.9,169752.5,410884.2,378180.0,437503.8,364178.3,319378.9,362751.6,453059.5,385285.7
2016年11月,,,,,,,,,,,277227.69,685457.17,433356.5,266153.24,544121.1,457147.2,520188.5,483194.82,390154.83,413806.99,473118.92,408143.0
2016年12月,,,,,,,,,,,,433188.8,573746.3,337567.5,786153.8,699739.1,853130.6,731660.0,626842.1,651541.7,753388.6,583182.56
2017年1月,,,,,,,,,,,,,213001.0,165523.8,390183.1,303434.2,344416.6,269038.2,242026.9,252675.5,311529.3,231326.7
2017年2月,,,,,,,,,,,,,,142120.5,703990.44,536768.98,646046.14,553460.47,528890.26,572522.62,754551.02,548475.94
2017年3月,,,,,,,,,,,,,,,1796989.43,2995610.5,2775053.9,2328547.0,1887216.3,2120458.1,2674413.38,1979739.81
2017年4月,,,,,,,,,,,,,,,,1992864.3,2935124.8,2215342.4,1788643.28,1929938.4,2491037.6,1696730.4
2017年5月,,,,,,,,,,,,,,,,,2814874.63,3429930.36,2719047.23,2720021.02,3111533.1,2264709.18
2017年6月,,,,,,,,,,,,,,,,,,2177370.8,2766366.7,2386805.7,2680386.53,1897945.9
2017年7月,,,,,,,,,,,,,,,,,,,1334848.08,1698865.47,1723815.0,1084602.16
2017年8月,,,,,,,,,,,,,,,,,,,,1715847.5,2291596.5,1320741.62
2017年9月,,,,,,,,,,,,,,,,,,,,,2295448.5,2006808.79
2017年10月,,,,,,,,,,,,,,,,,,,,,,1580084.62
