月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月,2017年11月
2016年1月,0.11,0.05,0.33,178.35,427.04,0.05,0.0,89.91,361.8,241.0,79.91,477.7,179.72,0.0,337.72,173.0,405.71,748.2,3564.4,422.55,1162.51,9723.61,9723.61
2016年2月,,2520.02,90.18,29164.71,16615.1,36502.12,42148.73,72439.94,130324.01,75511.4,171486.0,200451.6,136474.35,132906.0,238012.84,225125.3,274250.0,280567.3,220743.4,268064.9,268799.0,291757.6,291757.6
2016年3月,,,1344.2,10906.02,11377.0,5614.0,1995.8,11930.82,17864.6,6111.3,5869.9,9958.2,8823.1,6888.8,14109.5,10455.1,5910.2,12453.1,3972.5,7026.5,22020.6,20049.2,20049.2
2016年4月,,,,32920.92,13250.0,16670.0,11214.41,14574.77,10110.19,10879.49,18925.66,13482.2,10229.7,15682.5,23206.6,19890.6,27003.2,33952.0,25201.0,33150.5,47281.9,35650.8,35650.8
2016年5月,,,,,33678.0,79809.0,66390.8,64406.4,160576.31,78721.6,152006.41,152489.1,107547.2,64104.4,157165.1,137749.5,163902.21,148341.9,115319.8,166627.7,221554.4,183904.7,183904.7
2016年6月,,,,,,67379.14,64785.45,84568.56,122263.88,89499.17,202652.2,200511.04,131386.11,105656.49,205508.28,186809.62,197244.51,165935.02,150168.37,204412.0,243438.71,265424.7,265424.7
2016年7月,,,,,,,72309.1,176633.32,237229.7,186775.4,286778.47,305068.39,235197.66,179408.04,417328.6,376621.22,487579.24,399974.23,376369.94,442692.6,531181.81,437638.09,437638.09
2016年8月,,,,,,,,113653.2,268597.9,232451.9,411391.9,669531.03,472791.1,341233.0,675883.7,612933.0,738736.4,693935.9,644713.61,649778.3,901437.2,798622.6,798622.6
2016年9月,,,,,,,,,81492.6,158763.3,262346.5,341584.4,193229.5,121917.9,312139.1,350916.6,416660.1,421883.7,344833.0,370969.8,536204.1,421135.5,421135.5
2016年10月,,,,,,,,,,113908.7,383295.2,473461.7,252028.9,169752.5,410884.2,378180.0,437503.8,364178.3,319378.9,362751.6,453059.5,385285.7,385285.7
2016年11月,,,,,,,,,,,277187.79,685457.17,433356.5,266153.24,544121.1,457147.2,520188.5,483194.82,390154.83,413806.99,473118.92,408143.0,408143.0
2016年12月,,,,,,,,,,,,432011.44,573305.6,335395.9,783482.0,698620.1,852724.7,731660.0,626842.1,651366.0,753090.8,583182.56,583182.56
2017年1月,,,,,,,,,,,,,213499.0,165836.8,390909.0,303678.9,344416.6,269038.2,242026.9,252675.5,311529.3,231326.7,231326.7
2017年2月,,,,,,,,,,,,,,141442.7,701904.64,535530.28,645527.64,552749.17,528535.76,572522.62,754413.12,548291.14,548291.14
2017年3月,,,,,,,,,,,,,,,1790527.53,2989432.3,2772508.1,2327823.5,1886495.4,2119015.9,2673097.98,1979519.81,1979519.81
2017年4月,,,,,,,,,,,,,,,,1984416.0,2925896.4,2210639.8,1785662.68,1928054.1,2489141.0,1695708.1,1695708.1
2017年5月,,,,,,,,,,,,,,,,,2810841.44,3420586.66,2713156.23,2715373.82,3109567.7,2262561.78,2262561.78
2017年6月,,,,,,,,,,,,,,,,,,2173360.3,2762387.6,2384442.3,2679357.13,1897636.4,1897636.4
2017年7月,,,,,,,,,,,,,,,,,,,1333230.48,1695378.37,1722714.4,1084455.36,1084455.36
2017年8月,,,,,,,,,,,,,,,,,,,,1573217.0,2288177.3,1319558.62,1319558.62
2017年9月,,,,,,,,,,,,,,,,,,,,,2288992.8,2004659.89,2004659.89
2017年10月,,,,,,,,,,,,,,,,,,,,,,1578779.02,1578779.02
2017年11月,,,,,,,,,,,,,,,,,,,,,,,0.0
