月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月,2017年11月
2016年1月,9,5,33,22,8,5,0,2,5,2,2,6,4,0,6,3,5,11,39,11,26,9,9
2016年2月,,35,8,337,143,364,501,812,1282,892,1848,2118,1348,1304,2561,2297,2792,2835,2362,3029,2905,2761,2761
2016年3月,,,10,109,75,46,24,100,100,60,60,91,70,65,150,109,62,64,37,80,216,125,125
2016年4月,,,,283,88,137,87,173,116,133,146,138,81,135,225,185,238,342,257,332,416,300,300
2016年5月,,,,,303,644,656,693,1462,887,1697,1711,945,647,1693,1497,1611,1517,1265,1965,2405,1921,1921
2016年6月,,,,,,627,785,1013,1329,1175,2604,2478,1426,1170,2215,1995,2004,1669,1689,2377,2758,2876,2876
2016年7月,,,,,,,822,2037,2367,2134,3190,3328,2148,1814,4495,3963,4879,4127,4067,5067,5659,4402,4402
2016年8月,,,,,,,,1112,2715,2777,4733,7630,4592,3517,7402,6480,7611,7238,7031,7621,9692,8366,8366
2016年9月,,,,,,,,,955,1953,2993,3752,1694,1214,3394,3724,4255,4480,3770,4257,5690,4373,4373
2016年10月,,,,,,,,,,1484,4421,5128,2446,1732,4575,4146,4407,3739,3512,4205,4930,4283,4283
2016年11月,,,,,,,,,,,3355,7418,4136,2749,6021,4965,5286,5127,4324,4887,5164,4556,4556
2016年12月,,,,,,,,,,,,4688,5561,3475,8840,7720,8718,7725,7020,7833,8361,7077,7077
2017年1月,,,,,,,,,,,,,2178,1725,4408,3258,3506,2883,2706,2870,3386,2605,2605
2017年2月,,,,,,,,,,,,,,1521,7959,6056,6950,6189,6093,7031,8561,6652,6652
2017年3月,,,,,,,,,,,,,,,20786,32669,27907,24522,21023,25198,27484,22492,22492
2017年4月,,,,,,,,,,,,,,,,22427,30148,23622,19889,22754,25935,19659,19659
2017年5月,,,,,,,,,,,,,,,,,29242,36582,30247,32099,32943,25353,25353
2017年6月,,,,,,,,,,,,,,,,,,23646,30713,28549,29140,20980,20980
2017年7月,,,,,,,,,,,,,,,,,,,15323,20595,18304,12062,12062
2017年8月,,,,,,,,,,,,,,,,,,,,18606,24016,14669,14669
2017年9月,,,,,,,,,,,,,,,,,,,,,23808,22344,22344
2017年10月,,,,,,,,,,,,,,,,,,,,,,15317,15317
2017年11月,,,,,,,,,,,,,,,,,,,,,,,0
