月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月,2017年11月,2017年12月,2018年1月
2016年1月,3,2,2,1,1,1,0,2,1,1,1,2,2,0,2,2,2,2,2,2,2,1,2,2,2
2016年2月,,6,2,5,5,5,5,5,5,4,4,5,5,4,4,3,3,3,3,3,3,5,4,6,5
2016年3月,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016年4月,,,,7,4,3,3,4,5,4,4,2,3,3,5,4,5,4,4,3,3,4,5,4,3
2016年5月,,,,,10,9,9,9,9,8,7,6,6,6,6,7,6,6,6,6,7,7,6,8,6
2016年6月,,,,,,18,15,14,14,14,14,14,13,14,16,17,17,16,18,16,17,14,14,15,14
2016年7月,,,,,,,32,29,28,27,28,28,25,25,25,26,25,26,26,27,27,27,28,30,28
2016年8月,,,,,,,,34,33,29,29,29,28,28,29,31,31,31,31,31,32,32,32,32,32
2016年9月,,,,,,,,,43,38,37,36,31,34,33,37,35,37,37,37,38,36,38,43,36
2016年10月,,,,,,,,,,50,45,40,37,37,42,41,42,34,37,39,44,40,40,39,33
2016年11月,,,,,,,,,,,80,76,71,70,73,73,71,68,68,70,74,70,76,76,71
2016年12月,,,,,,,,,,,,136,127,123,122,123,115,120,115,120,112,113,115,121,107
2017年1月,,,,,,,,,,,,,90,79,83,80,81,76,74,72,73,70,72,79,69
2017年2月,,,,,,,,,,,,,,96,93,92,87,88,86,80,84,86,80,84,75
2017年3月,,,,,,,,,,,,,,,578,559,519,479,459,453,456,440,438,483,393
2017年4月,,,,,,,,,,,,,,,,910,866,794,704,650,625,581,591,675,515
2017年5月,,,,,,,,,,,,,,,,,1196,1108,976,875,841,753,761,858,637
2017年6月,,,,,,,,,,,,,,,,,,1277,1197,1055,932,810,806,913,664
2017年7月,,,,,,,,,,,,,,,,,,,1094,991,834,636,626,698,474
2017年8月,,,,,,,,,,,,,,,,,,,,1232,1092,818,726,760,518
2017年9月,,,,,,,,,,,,,,,,,,,,,1850,1093,971,969,648
2017年10月,,,,,,,,,,,,,,,,,,,,,,1540,917,860,533
2017年11月,,,,,,,,,,,,,,,,,,,,,,,1735,1163,763
2017年12月,,,,,,,,,,,,,,,,,,,,,,,,2402,1414
2018年1月,,,,,,,,,,,,,,,,,,,,,,,,,2362
