月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月
2016年1月,"0
","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)"
2016年2月,,"0
","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)"
2016年3月,,,"0
","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)"
2016年4月,,,,"1
31.0","1
10.0
(100.00%)","1
2.0
(100.00%)","0

(0.00%)","0

(0.00%)","0

(0.00%)","0

(0.00%)","0

(0.00%)","1
1.0
(100.00%)","0

(0.00%)","0

(0.00%)","0

(0.00%)","0

(0.00%)","0

(0.00%)"
2016年5月,,,,,"2
54.5","2
84.0
(100.00%)","2
70.5
(100.00%)","2
106.0
(100.00%)","2
123.5
(100.00%)","2
80.0
(100.00%)","2
170.0
(100.00%)","2
227.5
(100.00%)","2
150.5
(100.00%)","2
60.5
(100.00%)","1
7.0
(50.00%)","1
2.0
(50.00%)","1
1.0
(50.00%)"
2016年6月,,,,,,"4
39.75","4
11.25
(100.00%)","4
7.0
(100.00%)","4
9.75
(100.00%)","2
1.5
(50.00%)","2
4.0
(50.00%)","2
9.5
(50.00%)","3
9.0
(75.00%)","2
8.0
(50.00%)","1
4.0
(25.00%)","1
1.0
(25.00%)","1
2.0
(25.00%)"
2016年7月,,,,,,,"1
45.0","1
50.0
(100.00%)","1
53.0
(100.00%)","1
45.0
(100.00%)","1
54.0
(100.00%)","1
28.0
(100.00%)","1
23.0
(100.00%)","1
2.0
(100.00%)","0

(0.00%)","0

(0.00%)","0

(0.00%)"
2016年8月,,,,,,,,"4
45.25","4
49.5
(100.00%)","4
20.75
(100.00%)","4
45.75
(100.00%)","4
76.75
(100.00%)","4
35.25
(100.00%)","4
22.25
(100.00%)","4
39.5
(100.00%)","4
31.75
(100.00%)","4
55.0
(100.00%)"
2016年9月,,,,,,,,,"7
33.71","7
16.43
(100.00%)","7
36.14
(100.00%)","7
37.0
(100.00%)","7
27.29
(100.00%)","7
12.43
(100.00%)","7
25.0
(100.00%)","7
24.14
(100.00%)","7
22.29
(100.00%)"
2016年10月,,,,,,,,,,"5
32.6","5
26.2
(100.00%)","5
19.2
(100.00%)","3
7.67
(60.00%)","5
10.4
(100.00%)","5
8.6
(100.00%)","5
4.6
(100.00%)","5
6.8
(100.00%)"
2016年11月,,,,,,,,,,,"16
50.88","16
49.63
(100.00%)","16
28.0
(100.00%)","16
14.63
(100.00%)","15
31.73
(93.00%)","15
29.73
(93.00%)","15
32.47
(93.00%)"
2016年12月,,,,,,,,,,,,"60
41.17","57
18.61
(95.00%)","60
8.15
(100.00%)","58
17.55
(96.00%)","55
13.38
(91.00%)","57
13.86
(95.00%)"
2017年1月,,,,,,,,,,,,,"13
39.62","13
13.31
(100.00%)","12
25.5
(92.00%)","12
22.25
(92.00%)","11
26.09
(84.00%)"
2017年2月,,,,,,,,,,,,,,"3
33.67","3
57.33
(100.00%)","3
43.0
(100.00%)","3
41.67
(100.00%)"
2017年3月,,,,,,,,,,,,,,,"57
43.6","57
38.18
(100.00%)","57
32.32
(100.00%)"
2017年4月,,,,,,,,,,,,,,,,"83
38.94","83
29.48
(100.00%)"
2017年5月,,,,,,,,,,,,,,,,,"139
39.42"
