月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月
2016年1月,"0
","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)"
2016年2月,,"0
","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)"
2016年3月,,,"0
","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)","0

(0%)"
2016年4月,,,,"3
164.33","3
45.0
(100.00%)","3
86.0
(100.00%)","3
121.67
(100.00%)","2
361.0
(66.00%)","3
371.0
(100.00%)","2
388.0
(66.00%)","2
713.5
(66.00%)","2
809.5
(66.00%)","2
512.0
(66.00%)","2
563.0
(66.00%)","3
766.67
(100.00%)","3
706.33
(100.00%)","3
847.33
(100.00%)","3
863.33
(100.00%)"
2016年5月,,,,,"3
93.67","3
170.67
(100.00%)","3
132.67
(100.00%)","3
130.67
(100.00%)","3
321.0
(100.00%)","3
216.67
(100.00%)","3
548.0
(100.00%)","3
602.0
(100.00%)","3
337.33
(100.00%)","3
250.0
(100.00%)","3
615.67
(100.00%)","3
487.0
(100.00%)","3
520.0
(100.00%)","3
524.33
(100.00%)"
2016年6月,,,,,,"6
114.5","6
133.33
(100.00%)","6
144.5
(100.00%)","6
198.33
(100.00%)","6
126.0
(100.00%)","6
215.33
(100.00%)","6
164.67
(100.00%)","6
90.83
(100.00%)","6
66.33
(100.00%)","6
164.0
(100.00%)","6
135.17
(100.00%)","6
135.83
(100.00%)","6
157.83
(100.00%)"
2016年7月,,,,,,,"7
98.43","7
193.57
(100.00%)","7
204.43
(100.00%)","7
195.29
(100.00%)","7
320.14
(100.00%)","7
309.29
(100.00%)","7
211.43
(100.00%)","7
179.29
(100.00%)","7
428.43
(100.00%)","7
400.86
(100.00%)","6
612.83
(85.00%)","7
438.14
(100.00%)"
2016年8月,,,,,,,,"13
124.15","13
196.62
(100.00%)","13
178.15
(100.00%)","13
303.77
(100.00%)","13
350.38
(100.00%)","13
225.08
(100.00%)","13
176.92
(100.00%)","12
383.25
(92.00%)","12
365.58
(92.00%)","12
421.17
(92.00%)","12
365.08
(92.00%)"
2016年9月,,,,,,,,,"14
120.79","14
134.71
(100.00%)","14
185.86
(100.00%)","14
257.57
(100.00%)","14
161.64
(100.00%)","13
117.54
(92.00%)","13
232.08
(92.00%)","14
209.14
(100.00%)","13
262.31
(92.00%)","13
247.62
(92.00%)"
2016年10月,,,,,,,,,,"13
151.0","13
321.77
(100.00%)","13
378.31
(100.00%)","13
168.08
(100.00%)","13
132.38
(100.00%)","13
357.69
(100.00%)","13
363.62
(100.00%)","13
386.92
(100.00%)","12
377.67
(92.00%)"
2016年11月,,,,,,,,,,,"36
134.06","36
230.97
(100.00%)","36
110.92
(100.00%)","36
72.33
(100.00%)","36
168.67
(100.00%)","36
130.69
(100.00%)","36
134.97
(100.00%)","36
122.61
(100.00%)"
2016年12月,,,,,,,,,,,,"47
130.3","47
96.47
(100.00%)","47
58.15
(100.00%)","47
137.66
(100.00%)","47
104.79
(100.00%)","47
121.83
(100.00%)","47
115.38
(100.00%)"
2017年1月,,,,,,,,,,,,,"24
111.75","24
73.46
(100.00%)","24
147.83
(100.00%)","24
126.08
(100.00%)","24
137.92
(100.00%)","24
114.67
(100.00%)"
2017年2月,,,,,,,,,,,,,,"15
94.8","15
251.2
(100.00%)","15
192.07
(100.00%)","15
225.27
(100.00%)","15
202.0
(100.00%)"
2017年3月,,,,,,,,,,,,,,,"146
151.78","146
181.74
(100.00%)","146
173.52
(100.00%)","146
158.8
(100.00%)"
2017年4月,,,,,,,,,,,,,,,,"140
127.93","140
143.23
(100.00%)","140
119.39
(100.00%)"
2017年5月,,,,,,,,,,,,,,,,,"174
139.87","174
137.83
(100.00%)"
2017年6月,,,,,,,,,,,,,,,,,,"143
131.99"
