月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月
2016年1月,"2
1.0","1
3.0
(50.00%)","1
15.0
(50.00%)","1
22.0
(50.00%)","1
8.0
(50.00%)","1
5.0
(50.00%)","0

(0.00%)","2
1.0
(100.00%)","1
5.0
(50.00%)","1
2.0
(50.00%)","1
2.0
(50.00%)","2
3.0
(100.00%)","2
2.0
(100.00%)","0

(0.00%)","2
3.0
(100.00%)","2
1.5
(100.00%)","2
2.0
(100.00%)","2
5.5
(100.00%)","2
10.0
(100.00%)"
2016年2月,,"5
6.6","2
4.0
(40.00%)","5
67.2
(100.00%)","5
28.0
(100.00%)","5
72.6
(100.00%)","5
96.2
(100.00%)","5
154.6
(100.00%)","5
253.2
(100.00%)","4
220.0
(80.00%)","4
453.0
(80.00%)","5
421.0
(100.00%)","5
258.0
(100.00%)","4
324.0
(80.00%)","4
635.5
(80.00%)","3
758.67
(60.00%)","3
925.0
(60.00%)","3
927.67
(60.00%)","3
588.33
(60.00%)"
2016年3月,,,"2
5.0","2
54.0
(100.00%)","2
37.5
(100.00%)","2
23.0
(100.00%)","2
12.0
(100.00%)","2
50.0
(100.00%)","2
49.5
(100.00%)","2
30.0
(100.00%)","2
29.0
(100.00%)","2
45.0
(100.00%)","2
34.0
(100.00%)","2
32.5
(100.00%)","2
75.0
(100.00%)","2
54.0
(100.00%)","2
31.0
(100.00%)","2
32.0
(100.00%)","2
15.5
(100.00%)"
2016年4月,,,,"6
38.67","3
24.0
(50.00%)","3
45.67
(50.00%)","3
26.67
(50.00%)","4
38.75
(66.00%)","5
22.6
(83.00%)","3
42.67
(50.00%)","4
34.5
(66.00%)","2
69.0
(33.00%)","3
26.67
(50.00%)","2
65.5
(33.00%)","4
55.5
(66.00%)","3
60.0
(50.00%)","4
58.5
(66.00%)","4
83.75
(66.00%)","4
47.5
(66.00%)"
2016年5月,,,,,"8
37.13","8
78.88
(100.00%)","8
79.88
(100.00%)","8
83.0
(100.00%)","8
180.63
(100.00%)","7
124.57
(87.00%)","6
278.83
(75.00%)","6
282.5
(75.00%)","6
145.83
(75.00%)","6
107.5
(75.00%)","6
280.67
(75.00%)","7
211.71
(87.00%)","6
265.5
(75.00%)","6
250.5
(75.00%)","6
154.33
(75.00%)"
2016年6月,,,,,,"19
33.0","15
50.0
(78.00%)","14
71.14
(73.00%)","14
93.71
(73.00%)","14
82.93
(73.00%)","14
183.5
(73.00%)","14
176.14
(73.00%)","13
104.77
(68.00%)","14
82.86
(73.00%)","17
129.65
(89.00%)","18
109.39
(94.00%)","17
116.88
(89.00%)","16
102.94
(84.00%)","19
68.89
(100.00%)"
2016年7月,,,,,,,"30
26.17","27
72.74
(90.00%)","26
89.92
(86.00%)","25
84.0
(83.00%)","26
121.35
(86.00%)","26
126.69
(86.00%)","25
80.48
(83.00%)","24
75.21
(80.00%)","25
179.04
(83.00%)","26
151.35
(86.00%)","25
193.6
(83.00%)","26
156.23
(86.00%)","26
113.27
(86.00%)"
2016年8月,,,,,,,,"34
31.91","32
83.91
(94.00%)","28
98.29
(82.00%)","28
166.5
(82.00%)","28
270.89
(82.00%)","28
156.07
(82.00%)","27
129.78
(79.00%)","29
254.24
(85.00%)","30
213.8
(88.00%)","31
243.42
(91.00%)","31
229.19
(91.00%)","31
167.06
(91.00%)"
2016年9月,,,,,,,,,"39
23.56","36
52.67
(92.00%)","34
85.79
(87.00%)","34
109.41
(87.00%)","30
52.77
(76.00%)","32
37.16
(82.00%)","33
101.88
(84.00%)","36
102.33
(92.00%)","35
119.97
(89.00%)","37
119.32
(94.00%)","37
74.62
(94.00%)"
2016年10月,,,,,,,,,,"50
29.4","44
99.18
(88.00%)","40
127.4
(80.00%)","37
62.35
(74.00%)","37
46.49
(74.00%)","42
108.55
(84.00%)","41
100.02
(82.00%)","42
103.74
(84.00%)","34
108.59
(68.00%)","37
72.35
(74.00%)"
2016年11月,,,,,,,,,,,"78
42.29","73
100.6
(93.00%)","69
57.45
(88.00%)","69
39.58
(88.00%)","72
83.29
(92.00%)","72
68.51
(92.00%)","71
73.85
(91.00%)","68
74.24
(87.00%)","68
50.12
(87.00%)"
2016年12月,,,,,,,,,,,,"133
34.83","125
42.37
(93.00%)","122
28.4
(91.00%)","122
72.33
(91.00%)","122
62.98
(91.00%)","116
74.64
(87.00%)","120
63.69
(90.00%)","115
45.67
(86.00%)"
2017年1月,,,,,,,,,,,,,"87
23.6","77
22.19
(88.00%)","81
54.06
(93.00%)","79
41.0
(90.00%)","81
42.96
(93.00%)","76
37.5
(87.00%)","74
28.39
(85.00%)"
2017年2月,,,,,,,,,,,,,,"98
15.48","94
84.31
(95.00%)","93
64.42
(94.00%)","88
78.09
(89.00%)","90
67.57
(91.00%)","88
52.78
(89.00%)"
2017年3月,,,,,,,,,,,,,,,"583
35.63","561
57.93
(96.00%)","521
53.24
(89.00%)","483
50.1
(82.00%)","460
35.64
(78.00%)"
2017年4月,,,,,,,,,,,,,,,,"926
24.22","884
33.99
(95.00%)","812
28.8
(87.00%)","718
22.17
(77.00%)"
2017年5月,,,,,,,,,,,,,,,,,"1195
24.32","1117
32.43
(93.00%)","986
24.57
(82.00%)"
2017年6月,,,,,,,,,,,,,,,,,,"1747
14.09","1316
19.17
(75.00%)"
2017年7月,,,,,,,,,,,,,,,,,,,"1571
8.66"
