月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月
2016年1月,0.04,0.03,0.19,178.35,427.04,0.05,0.0,89.91,361.8,241.0,79.91,477.7,179.72,0.0,337.72,173.0,405.71,748.2,3564.4
2016年2月,,2404.02,90.18,29164.71,16615.1,36502.12,42148.73,72439.94,130324.01,75511.4,171486.0,200451.6,136474.35,132906.0,238012.84,225125.3,274250.0,280567.3,220731.1
2016年3月,,,1344.2,10906.02,11377.0,5614.0,1995.8,11930.82,17864.6,6111.3,5869.9,9958.2,8823.1,6888.8,14109.5,10455.1,5910.2,12453.1,3972.5
2016年4月,,,,28555.92,10880.0,16670.0,11214.41,14574.77,10110.19,10801.49,18925.66,13482.2,10229.7,15504.5,23048.6,19578.6,26884.2,33952.0,25201.0
2016年5月,,,,,33186.0,79101.0,65645.0,63241.9,160234.51,78113.8,151611.41,152489.1,107547.2,64104.4,157165.1,137749.5,163902.21,148341.9,115319.8
2016年6月,,,,,,67676.14,64785.45,84568.56,122263.88,89499.17,202652.2,200511.04,131386.11,105656.49,205567.28,186909.52,197244.51,165935.02,150340.77
2016年7月,,,,,,,70340.6,175915.82,236803.8,184723.9,286103.87,304610.89,235197.66,179310.04,417328.6,376621.22,487579.24,399974.23,376363.94
2016年8月,,,,,,,,113499.4,267888.0,232069.2,411316.9,669213.13,472791.1,341135.0,675883.7,612833.1,738736.4,693935.9,644703.51
2016年9月,,,,,,,,,79746.9,155090.0,259884.3,341088.1,192465.5,121640.9,312139.1,350733.6,416660.1,421883.7,344772.8
2016年10月,,,,,,,,,,113878.9,383226.2,473461.7,252028.9,169752.5,410884.2,378180.0,437503.8,364178.3,319346.8
2016年11月,,,,,,,,,,,275057.09,683831.57,431375.5,266003.44,543882.3,457038.3,520188.5,483194.82,390196.93
2016年12月,,,,,,,,,,,,429848.2,570648.1,336725.9,785024.6,699390.4,853130.6,731660.0,626833.9
2017年1月,,,,,,,,,,,,,212916.1,165453.9,390067.1,303434.2,344416.6,269038.2,242026.9
2017年2月,,,,,,,,,,,,,,141673.7,703617.54,536352.48,645891.14,553460.47,528801.86
2017年3月,,,,,,,,,,,,,,,1795636.23,2993517.1,2776491.5,2329596.7,1887233.2
2017年4月,,,,,,,,,,,,,,,,2000040.6,2945312.9,2219707.2,1790958.78
2017年5月,,,,,,,,,,,,,,,,,2814692.73,3431056.86,2719956.23
2017年6月,,,,,,,,,,,,,,,,,,2290103.4,2779910.7
2017年7月,,,,,,,,,,,,,,,,,,,1439477.38
