月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月
2016年1月,2,3,19,22,8,5,0,2,5,2,2,6,4,0,6,3,5,11,39
2016年2月,,33,8,337,143,364,501,812,1282,892,1848,2118,1348,1304,2561,2297,2792,2835,2362
2016年3月,,,10,109,75,46,24,100,100,60,60,91,70,65,150,109,62,64,37
2016年4月,,,,236,72,137,87,173,116,132,146,138,81,133,223,182,237,342,257
2016年5月,,,,,298,634,648,677,1457,880,1694,1711,945,647,1693,1497,1611,1517,1265
2016年6月,,,,,,630,785,1013,1329,1175,2604,2478,1426,1170,2216,1996,2004,1668,1691
2016年7月,,,,,,,803,2029,2364,2113,3182,3321,2148,1813,4495,3963,4879,4127,4067
2016年8月,,,,,,,,1109,2708,2773,4732,7627,4592,3516,7402,6479,7611,7238,7031
2016年9月,,,,,,,,,929,1915,2957,3743,1687,1211,3394,3723,4255,4480,3770
2016年10月,,,,,,,,,,1482,4420,5128,2446,1732,4575,4146,4407,3739,3512
2016年11月,,,,,,,,,,,3329,7401,4117,2747,6018,4963,5286,5127,4324
2016年12月,,,,,,,,,,,,4659,5539,3488,8856,7729,8723,7725,7020
2017年1月,,,,,,,,,,,,,2170,1720,4396,3255,3506,2883,2706
2017年2月,,,,,,,,,,,,,,1525,7978,6064,6955,6197,6097
2017年3月,,,,,,,,,,,,,,,20857,32712,27949,24541,21030
2017年4月,,,,,,,,,,,,,,,,22604,30331,23715,19949
2017年5月,,,,,,,,,,,,,,,,,29285,36700,30322
2017年6月,,,,,,,,,,,,,,,,,,24971,30941
2017年7月,,,,,,,,,,,,,,,,,,,16565
