"userid","nickname","SUM(`payorder`.`amount`)/100"
"21","陈郢","367.8000"
"28","mary","149.8000"
"34","zhy","331.7000"
"59","Qing","3213.4000"
"62","北回归的锚","688.3000"
"83","黄帮","605.7000"
"113","小飞车","79.9000"
"158","七、尘","505.0000"
"165","夜宸砂","0.1600"
"237","赵影","11316.7000"
"273","任汀Ting","138.0000"
"364","sunny","92.0000"
"841","龙姐姐","24010.9000"
"1472","杨杨妈","3535.2000"
"1568","俏儿","9440.1000"
"3128","🐑妹","554.0000"
"3311","天•一•云🏃🏼","379.5000"
"3398","Judy","429.5000"
"4234","莉莉喵","79.9000"
"4324","💏图图麻麻是西西👪","439.4000"
"4528","罗罗","555.0000"
"5130","Corona. S","291.0000"
"8050","不悔","276.0000"
"8258","冰山雪莲","297.8000"
"8605","文婧。","125.9000"
"8634","首席吃货","1016.0000"
"9407","小鱼🐟鱼","1159.8000"
"9547","小予妈妈","852.9000"
"9711","小嫩草","8677.6000"
"10693","张燕","357.8000"
"10804","安宁喜悦","505.0000"
"10872","重生十月","46.0000"
"12344","土豆片片","149.8000"
"12465","风雨侠客","495.0000"
"12566","碧蓝如水","301.7000"
"13257","果然妈妈","402.0000"
"13401","当当妈妈","778.1000"
"14175","鄂晶","92.0000"
"14897","芳芳","138.0000"
"15149","笑笑妈🌺梁太太💕","662.5000"
"15232","金太阳","2425.6000"
"16594","淘宝儿","506.0000"
"17095","亦彤💃🎨🎶😳","9339.3000"
"17394","开心美","89.0000"
"17716","赵敏","46.0000"
"18027","朵子  *summer🌟","406.0000"
"18147","牛牛🍃","909.9000"
"18373","vicky","4745.1000"
"18497","Susan","195.0000"
"18817","A.一米🎀","555.0000"
"19050","吴志茹（瑜伽么么哒^_^）","300.8000"
"19092","佳佳","218.0000"
"19742","尹伯昊","69.9000"
"19770","qq","623.7000"
"20514","🌸子冲MM🌸日韩澳(设我星标哦)","158.9000"
"20593","Lucky妈妈","614.9000"
