"商品编码","商品名称","商品批次","库存数量","可支配数量","单位"
"yhdx616","有好东西巢蜜（2盒）","201608281","40","40","71"
"yhdx627","有好东西姜母红糖","201608281","453","453","82"
"yhdx525","有好东西金奇异果整件(25#)","201608295","7","7","70"
"yhdx622","有好东西板栗10袋装","20160831","8","8","82"
"yhdx631","红心猕猴桃","201609053","106","106","70"
"yhdx619","有好东西红黄色小番茄","201609082","186","186","斤"
"yhdx617","沙地蜜甜瓜","201609081","2","2","箱"
"yhdx604","有好东西火龙果8斤装","20160909","9","9","箱"
"yhdx608","有好东西牛油果（6粒装）","201609097","320","320","个"
"yhdx645","有好东西蜜梨","20160911","285","285","箱"
"yhdx661","肉燕","20160911","8","8","盒"
"yhdx620","有好东西大荔冬枣3斤装","201609113","35","35","箱"
"yhdx635","西梅","201609113","1539","1539","斤"
"yhdx634","攀枝花凯特芒","201609113","8","8","箱"
"yhdx618","有好东西每日坚果","201609121","75","75","袋"
"yhdx622","有好东西板栗10袋装","201609101","1030","1030","袋"
"yhdx605","有好东西火龙果5斤装","20160912","9","9","箱"
"yhdx623","有好东西玫瑰苹果 （12粒装）","201609123","164","164","个"
"yhdx614","有好东西西柚（6粒装）","201609123","44","44","个"
"yhdx525","有好东西金奇异果整件(25#)","201609123","10","10","箱"
"yhdx631","红心猕猴桃","201609123","200","200","箱"
"yhdx624","有好东西海南木瓜","201609131","5","5","盒"
